Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
Roslev Fjernvarmeselskab Amba;7870;469;11188;13947;-2.272;-14,01%;0;0%;
Rostrup Kraftvarmeværk A.m.b.a. ;9550;500;15500;17050;1.125;7,06%;3.388;24,80%;
Rundhøj Fjernvarme  A.m.b.a. ;8270;535;9925;12934;2.086;19,22%;1.086;9,20%;
Ry Varmeværk Am.b.a. ;8680;326;7956;10480;-1.631;-13,47%;-1.209;-10,30%;
Rye Kraftvarmeværk A.m.b.a.;8680;406;14375;19416;46;0,24%;2.308;13,50%;
Ryomgaard Fjernvarmeværk;8550;678;13954;17138;0;0,00%;0;0%;
Ræhr Fjernvarme Amba;7730;400;9125;10365;-3.631;-25,94%;-2.328;-18,30%;
Rødby Varmeværk Amba;4970;375;9219;12100;0;0,00%;0;0%;
Rødbyhavn Fjernvarme Amba;4970;408;8631;10771;-869;-7,47%;365;3,50%;
Rødding Varmecentral ;6630;488;9625;12374;1.018;8,97%;905;7,90%;
Rødkærsbro Fjernvarmeværk;8840;600;13625;17004;746;4,59%;2.856;20,20%;
Rødovre kommunes Varmeforsyning;2610;469;10313;13622;-1.796;-11,65%;158;1,20%;
Rønde Fjernvarmeværk;8410;436;8888;11409;-1.155;-9,19%;0;0%;
Rønne Varme A/S;3700;477;11293;13472;-2.065;-13,29%;0;0%;
Sakskøbing Fjernvarmeselskab Amba;4990;540;10167;13009;-170;-1,29%;283;2,20%;
Saltum Fjernvarmeværk Amba;9493;570;11988;15817;158;1,01%;2.647;20,10%;
Sandved-Tornemark Kraftvarmeværk Amba;4262;575;14297;17614;-1.759;-9,08%;165;0,90%;
Sdr. Felding Varmeværk;7280;375;8281;10475;0;0,00%;0;0%;
Sdr. Herreds Kraftvarmeværker Amba;7960;536;13844;15506;-434;-2,72%;1.361;9,60%;
Sdr. Omme Varmeværk Amba.;7260;410;11080;14966;-1.348;-8,26%;-410;-2,70%;
Sig Varmeværk;6800;613;14313;16211;-2.263;-12,25%;1.742;12,00%;
Silkeborg Varme A/S;8600;475;9600;12118;679;5,93%;679;5,90%;
Sindal Varmeforsyning Amba;9870;450;9281;11583;-2.036;-14,95%;1.629;16,40%;
SK Forsyning (Slagelse og Korsør);4200;463;9984;12708;-566;-4,26%;0;0%;
Skagen Varmeværk Amba;9990;338;8288;10599;-679;-6,02%;-679;-6,00%;
Skals Kraftvarmeværk Amba;8832;450;9750;12520;-1.448;-10,37%;0;0%;
Skanderborg-Hørning Fjernvarme Amba;8660;425;8500;10643;-1.901;-15,15%;-272;-2,50%;
Skive Fjernvarme Amba;7800;465;9663;12617;-2.082;-14,16%;0;0%;
Skjern Fjernvarmecentral A.m.b.a. ;6900;463;8625;11059;-641;-5,48%;-641;-5,50%;
Skovlund Kraftvarme;6823;500;10875;13525;-1.506;-10,02%;0;0%;
Skovsgaard Varmeværk A.m.b.a. ;9460;563;11156;14619;-664;-4,35%;0;0%;
Skuldelev Energiselskab Amba;4050;484;10626;12596;-6.532;-34,15%;0;0%;
Skærbæk Fjernvarme A.m.b.a.;6780;444;9695;12153;588;5,08%;588;5,10%;
Skørping Varmeværk A.m.b.a.;9520;538;10938;14104;2.307;19,55%;1.429;11,30%;
Skårup Fjernvarme;5881;450;10406;13795;-788;-5,40%;362;2,70%;
Slagslunde ;3660;630;13263;17278;-2.259;-11,56%;0;0%;
Smørum Kraftvarme;2765;542;11254;14536;-1.616;-10,00%;0;0%;
Snedsted Varmeværk;7752;419;10219;13892;-100;-0,71%;-100;-0,70%;
Snertinge, Særslev, Føllenslev - SSF Energiselskab ;4591;756;18669;22213;0;0,00%;0;0%;
Solrød Fjernvarmeværk Amba;2680;550;11581;15396;-1.066;-6,48%;-1.079;-6,50%;
Sorø Fjernvarme A/S;4520;525;8691;10918;-8.138;-42,71%;0;0%;
Spjald Fjernvarme- og Vandværk;6971;438;8500;10544;-3.394;-24,35%;1.131;12,00%;
St. Merløse Varme A/S;4300;715;13954;18078;1.246;7,40%;509;2,90%;
Stege Fjernvarme Amba;4780;498;11029;14835;0;0,00%;0;0%;
Stenløse Syd, Lærkeskolen, Stengårdsskolen, Toftehøjskolen;3660;488;11000;14849;2.190;17,30%;-163;-1,10%;
Stenstrup Fjernvarme Amba;5771;445;9438;11835;0;0,00%;1.810;18,10%;
Stoholm Fjernvarmeværk  Amba;7850;438;9844;12231;-4.553;-27,13%;0;0%;
Stokkemarke Fjernvarme;4952;500;13179;17756;54;0,30%;-84;-0,50%;
Strandby Varmeværk A.m.b.A.;9970;625;12281;15800;1.686;11,95%;3.394;27,40%;
Struer Forsyning Fjernvarme A/S;7600;415;7844;9694;-1.493;-13,35%;-181;-1,80%;
Støvring Kraftvarmeværk Amba;9530;413;8875;11610;214;1,88%;679;6,20%;
Sunds Vand og Varmeværk;7451;475;9438;12010;-1.976;-14,13%;-1.976;-14,10%;
Svebølle-Viskinge Fjernvarmeselskab Amba;4470;786;19906;22343;-828;-3,57%;-701;-3,00%;
Svendborg Fjernvarme Amba;5700;600;10544;13353;2.263;20,40%;2.263;20,40%;
Svogerslev Fjernvarmecentral;4000;688;14388;16519;4.671;39,43%;1.269;8,30%;
Sydfalster Varmeværk Amba;4873;447;10856;13995;1.074;8,31%;275;2,00%;
Sydlangeland Fjernvarme A.m.b.a.;5932;555;11075;13896;1.052;8,19%;0;0%;
Sæby Varmeværk Amba;9300;463;9313;11571;-1.004;-7,98%;1.584;15,90%;
Søndbjerg Fjernvarme Amba;7790;625;14250;19613;-1.584;-7,47%;0;0%;
Sønderborg Varme A/S**;6400;419;8840;11512;301;2,69%;301;2,70%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Sønderholm Varmeværk Amba;9240;469;12281;15484;375;2,48%;375;2,50%;
Tarm Varmeværk Amba;6880;435;10030;11379;10;0,08%;-272;-2,30%;
Terndrup Fjernvarme A.m.ba.;9575;563;12000;15669;-1.131;-6,73%;0;0%;
Thisted Varmeforsyning Amba**;7700;425;8313;10593;905;9,34%;1.131;12,00%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Thorsager Fjernvarmeværk Amba;8410;563;12844;16306;379;2,38%;0;0%;
Thorshøj Kraftvarmeværk Amba;9750;694;16069;19127;3.662;23,68%;4.638;32,00%;
Thorsminde Fjernvarme A.m.b.a.;6990;438;10875;14294;29;0,20%;0;0%;
Thorsø Fjernvarmeværk Amba;8881;325;8934;10517;-3.094;-22,73%;745;7,60%;
Thyborøn Fjernvarme A.m.b.a.;7680;490;10610;14279;272;1,94%;543;4,00%;
Tim Kraftvarmeværk Amba;6980;688;13250;16619;4.299;34,89%;5.204;45,60%;
Tistrup Varmeværk;6862;606;13219;16473;6.199;60,34%;5.317;47,70%;
Toftlund Fjernvarme Amba;6520;781;14219;18016;5.300;41,68%;8.694;93,30%;
Tommerup Bys Fjernvarmeforsyning A.m.b.a.;5690;466;10166;12655;-1.976;-13,51%;-1.561;-11,00%;
Tommerup St. Varmeforsyning A.m.b.a.;5690;513;10313;13826;-2.263;-14,06%;0;0%;
Tranbjerg Varmeværk Amba;8310;625;11048;13431;-506;-3,63%;825;6,50%;
Tranum Kraftvarmeværk;9460;563;11513;13856;-1.131;-7,55%;0;0%;
TRE-FOR Varme, Kolding A/S;6000;613;12000;13899;-158;-1,13%;928;7,20%;
Troldhede Kraftvarmeværk A.m.b.a.;6920;563;10469;13244;3.959;42,65%;1.131;9,30%;
Trustrup-Lyngby Varmeværk Amba;8570;406;9250;12091;-3.339;-21,64%;601;5,20%;
Tversted Kraftvarmeværk A.m.b.a.;9881;494;10344;13562;-679;-4,77%;2.376;21,20%;
Tønder Fjernvarmeselskab A.m.b.a.;6270;719;13563;17372;720;4,32%;2.927;20,30%;
Tørring Kraftvarmeværk;7160;500;12469;17113;5.031;41,65%;6.963;68,60%;
Tårnby Forsyning;2770;325;11003;13082;3.198;32,36%;0;0,00%;
Taars Varmeværk Amba;9830;831;16081;20643;9.813;90,62%;8.003;63,30%;
Ulbjerg Kraftvarme Amba;8832;531;12500;15178;813;5,66%;3.075;25,40%;
