Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
Agersted Varmeværk;9330;326;7394;9780;-2.036;-17,23%;-566;-5,50%;
Albertslund Varmeværk;2620;700;12552;15990;2.840;21,60%;686;4,50%;
Allingåbro Varmeværk;8961;438;10188;13231;0;0,00%;0;0%;
Als Fjernvarme a.m.b.a.;9560;425;9350;11755;-13;-0,11%;0;0%;
Ans Kraftvarmeværk;8643;740;13544;16815;1.671;11,03%;3.552;26,80%;
Ansager Varmeværk;6823;344;10994;15816;-823;-4,95%;0;0%;
Arden Varmeværk;9510;475;9650;12473;2.054;19,71%;1.569;14,40%;
Assens Fjernvarme Amba - Fyn;5610;409;7860;9982;82;0,83%;210;2,20%;
Assens Fjernvarme Amba - Jylland;9550;475;11594;15035;-453;-2,92%;-453;-2,90%;
Astrup Kraftvarmeværk;9510;450;13438;14833;-2.381;-13,83%;4.698;46,30%;
Asaa Fjernvarme;9340;438;9969;12906;2.333;22,06%;2.466;23,60%;
Augustenborg Fjernvarme;6440;531;11156;14041;566;4,20%;1.131;8,80%;
Aulum Fjernvarme A.m.b.a.;7490;500;11213;15375;6.631;75,84%;5.500;55,70%;
Auning Varmeværk;8963;525;10531;13740;1.358;10,96%;1.358;11,00%;
Avedøre Fjernvarme A.m.b.a. ;2650;360;11139;13273;-298;-2,19%;420;3,30%;
Ballen/Brundby Varmeværk;8305;713;15963;18171;-730;-3,86%;-1.330;-6,80%;
Balling-Rødding Varmeværk A.m.b.a.**;7860;585;10925;14114;-71;-0,50%;115;0,80%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Bedsted Fjernvarme;7755;575;12578;14601;453;3,20%;453;3,20%;
Billund Varmeværk ;7190;440;8225;10414;-1.785;-14,63%;-1.448;-12,20%;
Bindslev Fjernvarme;9881;231;6984;9419;-113;-1,19%;-226;-2,30%;
Blenstrup Kraftvarmeværk A.m.b.a.;9520;550;14200;15905;-3.168;-16,61%;0;0%;
Blåhøj Energiselskab Amba;7330;188;4531;5456;-9.936;-64,55%;-4.784;-46,70%;
Bogense Forsyningsselskab;5400;338;7344;9421;-679;-6,72%;-679;-6,70%;
Bornholms Varme A/S**;3700;700;15531;19283;790;4,27%;790;4,30%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Borup Varmeværk Amba;4140;506;9548;12551;0;0,00%;-1;0,00%;
Boulstrup-Hou Kraftvarmeværk A.m.b.a. ;8300;538;12563;14229;-3.530;-19,88%;1.131;8,60%;
Bramming Fjernvarme A.m.b.a.;6740;513;10388;13956;4.059;41,01%;5.201;59,40%;
Brande Fjernvarme Amba;7330;400;9156;12115;1.265;11,66%;2.141;21,50%;
Bredebro Varmeværk;6261;394;8313;10977;339;3,19%;1.244;12,80%;
Bredsten-Balle Kraftvarmeværk A.m.b.a.;7182;681;10219;16117;-1.697;-9,53%;339;2,20%;
Broager Fjernvarmeselskab;6310;531;12125;15603;0;0,00%;0;0%;
Brovst Fjernvarme;9460;500;10625;13550;-905;-6,26%;905;7,20%;
Brædstrup Fjernvarme a.m.b.a.;8740;469;9875;12909;3.394;35,67%;5.656;78,00%;
Brøndby Fjernvarme A.m.b.a. ;2605;458;9014;11681;1.158;11,01%;-470;-3,90%;
Brønderslev Varme;9700;560;10475;13146;-1.340;-9,25%;-1.041;-7,30%;
Brøns Kraftvarme A.m.b.a.;6780;520;13275;15487;-3.206;-17,15%;815;5,60%;
Brørup Fjernvarme;6650;400;8563;11315;973;9,41%;905;8,70%;
Bækmarksbro Varmeværk A.m.b.a.;7660;600;12800;15460;0;0,00%;0;0%;
Bælum Varmeværk;9574;563;12375;14119;-1.358;-8,77%;1.131;8,70%;
Bøvling Varmeværk;7650;619;10781;12699;-98;-0,77%;0;0%;
Christiansfeld Fjernvarmeselskab A.m.b.A.;6070;688;13281;17131;4.659;37,35%;5.111;42,50%;
DIN Forsyning Varme**;6705;456;8846;10956;-385;-3,39%;-501;-4,40%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Dronninglund Fjernvarme;9330;706;12844;16408;2.524;18,18%;5.021;44,10%;
Durup Fjernvarme;7870;465;10518;14373;-1.296;-8,27%;0;0%;
Dybvad Varmeværk Amba;9352;513;11563;14526;-1.810;-11,08%;-453;-3,00%;
E.ON Varme - Lendemarke Varmeforsyning;4780;693;13073;16378;1.440;9,64%;1.440;9,60%;
Ebeltoft Fjernvarmeværk;8400;386;8435;10697;-166;-1,53%;-163;-1,50%;
Egtved Varmeværk;6040;699;13263;17010;-475;-2,72%;3.597;26,80%;
Ejby Fjernvarme A.m.b.a.;5592;588;11500;14559;1.464;11,18%;4.299;41,90%;
Ejerf Mølleåparken v/adv Lone Refshammer***;1153;764;14339;;0;0,00%;0;0%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
Ejsing Fjernvarmeforsyning A.m.b.a.;7830;738;16313;19349;0;0,00%;0;0%;
Ejstrupholm Varmeværk;7361;594;13406;15247;1.923;14,43%;3.959;35,10%;
Ellehavegaard Energy I/S;4800;469;;14609;-1.738;-10,63%;-1.300;-8,20%;
Engesvang-Moselund Kraftvarmeværk;7430;625;11531;14500;3.733;34,67%;7.919;120,30%;
Eniig Varme A/S;7400;471;8001;9461;-5.616;-37,25%;-5.146;-35,20%;
Farsø Fjernvarmeværk;9640;425;9406;11755;0;0,00%;0;0%;
Farum Fjernvarme;3520;609;10756;13835;2.734;24,63%;2.571;22,80%;
Faxe Fjernvarmeselskab;4640;425;8649;11633;-81;-0,69%;204;1,80%;
FD Hvidovre;2650;371;11310;13483;-251;-1,83%;366;2,80%;
Feldborg Kraftvarmeværk A.m.b.a.;7540;615;11850;14719;4.910;50,05%;5.872;66,40%;
Fensmark Fjernvarmeværk;4684;500;11344;13581;108;0,80%;1.465;12,10%;
Filskov Energiselskab;7200;250;7188;8650;-1.944;-18,35%;0;0%;
Fjernvarme Horsens A.m.b.a;8700;490;9709;12500;-498;-3,83%;-300;-2,30%;
Fjerritslev Fjernvarme;9690;421;9194;12150;-1.765;-12,68%;158;1,30%;
Flauenskjold Varmeværk A.m.b.a;9330;469;9688;12172;-2.263;-15,67%;0;0%;
Fredericia Fjernvarme;7000;306;7090;9414;-554;-5,56%;-472;-4,80%;
Frederiks Varmeværk;7470;438;10156;13231;-2.263;-14,60%;1.131;9,30%;
Frederiksberg Fjernvarme A/S;2000;591;10602;13707;1.985;16,94%;1.150;9,20%;
Frederikshavn Varme A/S;9900;555;10981;14008;1.358;10,73%;1.629;13,20%;
Frifelt-Roager Kraftvarme AMBA;6780;700;17000;20170;-453;-2,19%;0;0%;
Frøstrup Fjernvameværk;7741;509;13171;16331;250;1,55%;250;1,60%;
Fuglebjerg Fjernvarme;4250;481;10625;14248;-543;-3,67%;0;0%;
Fur Kraftvarmeværk A.m.b.a.;7884;500;11750;13300;-3.352;-20,13%;-2.470;-15,70%;
Fyn, Fjernvarme Fyn A/S**;5230;470;8313;10457;-735;-6,57%;215;2,10%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Faaborg, FFV Varme A/S ;5600;713;12594;15834;3.245;25,78%;5.883;59,10%;
Galten Varmeværk;8464;344;8173;9863;784;8,63%;-113;-1,10%;
Gartneres Varmeforsyning i Belling - Fangel ApS;5250;412;7222;8647;-383;-4,24%;-87;-1,00%;
Gartneres Varmeforsyning i Åsum og Langeskov ApS;5250;411;7298;8739;-288;-3,19%;490;5,90%;
Gartnernes Fjernvarmeforsyning i Odense Nord ApS;5250;419;7666;9183;534;6,17%;156;1,70%;
Gassum-Hvidsten Kraftvarmeværk;8981;419;13844;16867;6.262;59,05%;9.361;124,70%;
Gauerslund Fjernvarme;7080;475;9344;12191;-226;-1,82%;-226;-1,80%;
Gedsted Varmeværk;9631;688;14844;18694;-21;-0,11%;3.825;25,70%;
Gelsted Fjernvarmeselskab;5591;713;14125;17846;453;2,60%;1.131;6,80%;
Genner-Hellevad-Hovslund Forenede Kraftvarmeværker;6230;400;10900;14065;-1.358;-8,80%;0;0%;
Gentofte Fjernvarme;2820;289;11789;14018;1.166;9,07%;1.168;9,10%;
Gilleleje Fjernvarme a.m.b.a.;3250;531;10750;13978;14;0,10%;-325;-2,30%;
Give Fjernvarme Amba;7323;531;9469;12216;4.638;61,21%;4.511;58,50%;
Gjerlev Varmeværk;8983;495;13238;17110;-407;-2,32%;-407;-2,30%;
Gjøl Private Kraftvarmeværk A.m.b.a.;9440;463;11938;15246;453;3,06%;1.584;11,60%;
Gladsaxe Kommune, Fjernvarmeforsyningen;2860;289;11401;13602;1.743;14,69%;1.296;10,50%;
Glamsbjerg Fjernvarme A.m.b.a.;5620;438;9063;11794;0;0,00%;0;0%;
Glostrup Varme A/S;2600;360;7339;9417;-5.860;-38,36%;-7.037;-42,80%;
Glyngøre Fjernvarmeværk;7870;500;10625;13863;-1.331;-8,76%;0;0%;
Gram Fjernvarme;6510;838;16125;20784;7.694;58,78%;8.259;65,90%;
Grenaa Varmeværk;8500;412;8524;10970;-2.045;-15,71%;-2.045;-15,70%;
Greve Fjernvarme A.m.b.a.;2670;330;8783;12069;-2.725;-18,42%;2.276;23,20%;
Grindsted, Gev Varme A/S ;7200;250;5938;7400;-394;-5,05%;0;0%;
Græsted Fjernvarme A.m.b.a;3230;490;10938;14650;498;3,52%;1.063;7,80%;
Gudenådalens Energiselskab (Bjerringbro);8850;625;13675;15613;2.534;19,38%;3.959;34,00%;
Gudenådalens Energiselskab (Ulstrup);8860;688;13238;16381;-1.132;-6,46%;3.168;24,00%;
Guldborgsund Varme;4800;538;10767;14044;9;0,07%;9;0,10%;
Gylling-Ørting-Falling Kraftvarmeværk;8300;550;13656;15949;-5.883;-26,95%;0;0%;
Gørding Varmeværk;6690;475;9094;12010;0;0,00%;0;0%;
Haderslev Fjernvarme;6100;445;8363;10430;-317;-2,95%;362;3,60%;
Haderup Kraftvarmeværk;7540;519;11250;14439;4.042;38,87%;5.004;53,00%;
Hadsten Varmeværk;8370;350;8813;9898;-640;-6,07%;0;0%;
Hadsund Fjernvarmeværk;9560;450;11000;13220;-457;-3,34%;-434;-3,20%;
Hallund Kraftvarmeværk A.m.b.a.;9700;600;15000;16860;405;2,46%;724;4,50%;
Hals Fjernvarme;9370;525;10313;13040;-226;-1,71%;226;1,80%;
Halsnæs Varme A/S;3300;513;10211;13273;-1.586;-10,68%;4.965;59,80%;
Halvrimmen-Arentsminde Kraftv.værk Amba;9460;438;9469;11856;-2.049;-14,74%;0;0%;
Hammel Fjernvarme Amba;8450;419;7531;9379;225;2,46%;225;2,50%;
Hammershøj Fjernvarmeværk;8830;531;10031;13191;-3.168;-19,36%;1.358;11,50%;
Hanstholm Varmeværk;7730;375;8063;9913;-173;-1,71%;453;4,80%;
Harboøre Varmeværk A.m.b.a. ;7673;213;5738;7476;-679;-8,32%;0;0%;
Hashøj Kraftvarmeforsyning A.m.b.a.;4261;513;10774;14735;-2.489;-14,45%;-2.489;-14,40%;
Haslev Fjernvarme Imba;4690;595;12287;15687;-2.188;-12,24%;-170;-1,10%;
Havnbjerg Varmecentral;6400;650;12675;16478;-7.279;-30,64%;-5.043;-23,40%;
Havndal Fjernvarme A.m.b.a.;8970;579;12353;15277;-777;-4,84%;2.665;21,10%;
Havneby Varmeværk A.m.b.a.;6792;844;16094;20652;693;3,47%;18;0,10%;
Hedensted Fjernvarme;8722;620;11706;14935;-712;-4,55%;0;0%;
Hejnsvig Varmeværk A.m.b.a.;7250;300;9375;11130;-2.312;-17,20%;2.160;24,10%;
Helsinge Fjernvarme;3200;525;10656;13865;-1.619;-10,45%;0;0%;
Helsingør, Forsyning Helsingør Varme  ;3000;516;12440;15764;-1.012;-6,03%;-725;-4,40%;
Hemmet Varmeværk  A.m.b.a. ;6893;563;12594;15919;-4.184;-20,81%;-1.587;-9,10%;
Hillerød Varme  A/S - Skævinge ;3400;450;13004;16240;701;4,51%;996;6,50%;
Hillerød Varme A/S;3400;450;10494;11889;701;6,27%;996;9,10%;
Hillerød Varme A/S - Gørløse;3400;450;14005;15400;1.833;13,51%;996;6,90%;
Hillerød Varme A/S - Meløse-St.Lyngby;3400;450;14814;16209;701;4,52%;996;6,50%;
Hinnerup Fjernvarme;8382;408;8066;10532;651;6,59%;312;3,10%;
Hirtshals Fjernvarme A.m.ba.;9850;463;10453;13605;1.018;8,09%;1.584;13,20%;
Hjallerup Fjernvarme A.m.b.a.;9320;713;14438;16646;1.584;10,51%;2.263;15,70%;
Hjordkær Fjernvarmeværk;6230;451;10204;12428;-1.131;-8,34%;-1.131;-8,30%;
Hjørring Varmeforsyning;9800;388;8164;9856;634;6,87%;635;6,90%;
Hobro Varmeværk;9500;515;9248;11703;567;5,09%;272;2,40%;
HOFOR Fjernvarme P/S;2300;675;12367;15275;300;2,00%;300;2,00%;
Holeby Fjernvarme;4960;420;9286;11839;-3.779;-24,19%;-280;-2,30%;
Holme Lundshøj Fjernvame A.m.b.a. ;8270;686;11606;14559;2.625;21,99%;1.901;15,00%;
Holsted Varmeværk;6670;750;14344;17838;2.715;17,95%;4.525;34,00%;
Holte Fjernvarme a.m.b.a.;2840;479;10463;14353;-5.075;-26,12%;-1.908;-11,70%;
Horbelev Varmeværk;4871;543;14116;18962;-88;-0,46%;-1.124;-5,60%;
Hornbæk Fjernvarme A.m.b.a. ;3100;645;12616;16382;-1.023;-5,88%;-390;-2,30%;
Hornslet Fjernvarmeselskab Amba;8543;650;11851;14073;453;3,32%;453;3,30%;
Hovedgård Fjernvarmeværk amba;8732;525;11944;15596;-741;-4,54%;0;0%;
Hundested Varmeværk A.m.b.a.;3390;746;14694;19070;-520;-2,66%;0;0%;
Hundslund-Oldrup Kraftvarmeværk;8350;663;15073;19566;-3.846;-16,43%;0;0%;
Hurup Fjernvarme;7760;450;8825;10895;674;6,59%;674;6,60%;
Hvalpsund Kraftvarmeværk A.m.b.a.;9640;375;13125;14288;-938;-6,16%;0;0%;
Hvalsø Kraftvarmeværk a.m.b.a.;4330;676;12039;15068;3.394;29,08%;2.716;22,00%;
Hvidbjerg Fjernvarme A.m.b.a.;7790;525;9750;12203;-1.753;-12,56%;0;0%;
Hvide Sande Fjernvarme;6960;500;10788;13975;1.697;13,82%;1.697;13,80%;
Hvidebæk Fjernvarmeforsyning A.m.b.a.;4490;510;11217;15412;-7.025;-31,31%;-1.723;-10,10%;
Hyllinge-Menstrup Kraftvarme Amba;4700;625;14063;19438;-4.433;-18,57%;0;0%;
Høje Taastrup Fjernvarme A.m.b.a;2630;585;11384;14234;-27;-0,19%;113;0,80%;
Højslev - Nr. Søby Fjernvarmeværk a.m.b.a.;7840;491;9748;12693;-973;-7,12%;-453;-3,40%;
Høng Varmeværk;4270;619;11688;14888;627;4,40%;1.770;13,50%;
Hørby Varmeværk;9300;413;11329;14360;-2.602;-15,34%;0;0%;
Ikast Værkerne Varme A/S;7430;488;9469;12011;1.244;11,56%;1.131;10,40%;
Ingstrup Fjernvarme;9480;644;16281;18277;1.584;9,49%;-158;-0,90%;
Ishøj Varmeværk;2635;400;11225;13426;1.346;11,15%;-1.423;-9,60%;
Jelling Varmeværk;7300;456;10034;12848;1.740;15,66%;2.587;25,20%;
Jerslev Kraftvarmeværk;9740;550;11360;13924;0;0,00%;1.267;10,00%;
