aar,cvr,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
2021,11278612,460,460-2,Skals Kraftvarmeværk,8832,Skals,791,249,Skals Fjernvarme,400,SKALS KRAFTVARMEVÆRK A.M.B.A.,0.0,DC,Decentralt værk,Kedel 1,Kedel,353000.0,350030.0,fvv,2012-01-01,00:00:00,13.67,1.499,12.5,103.12863192,72.144,72.144,36.45792000000001,36.45792000000001,0.7624631056666668,0.23753689433333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8929176,0.0,97.91343432000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32228,0.0
2021,11304028,12,12-1,"Als Fjernvarme, Rørsangervej 3",9560,Hadsund,846,292,Als Fjernvarme,12,ALS FJERNVARME AMBA,0.0,FJ,Fjernvarmeværk,Oliecentral,Kedel,353000.0,350030.0,fvv,1965-01-01,00:00:00,13.0,0.0,12.65,48.1964,46.3932,46.3932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.893,0.0,21.199,0.0,0.0,0.0,9.1044,0.0,0.0,0.0
2021,11324312,384,384-4,Nørre Nebel Fjernvarme,6830,Nørre Nebel,573,120,Nørre-Nebel Fjernvarme,347,NØRRE NEBEL FJERNVARME,0.0,DC,Decentralt værk,Biogasmotor 3,Forbrændingsmotor,353000.0,350030.0,kvt,2012-03-01,00:00:00,16.007,3.859,11.44,125.929402,63.589175999999995,63.589175999999995,51.567732,51.567732,0.55558716732,0.44441283268000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.32754100000001,0.0,2.601861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11325319,408,408-2,Outrup Varmeværk,6855,Outrup,573,121,Outrup Fjernvarme,352,Outrup Varmeværk,0.0,DC,Decentralt værk,Gasmotor,Forbrændingsmotor,353000.0,350030.0,kvt,1992-01-01,00:00:00,8.9,1.0,9.05,45.4984056,39.04236,38.93436,4.22892,4.22892,0.8494188571200001,0.15058114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0408056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2716,12.186
2021,11326943,931,931-1,Kohberg Brød A/S,6392,Bolderslev,580,0,0,2010,KOHBERG BAKERY GROUP A/S,0.0,ER,Erhvervsværk,Jenbacher,Forbrændingsmotor,107110.0,100040.0,pev,1994-05-18,2023-01-18 00:00:00,1.42,0.52,0.68,20.9455884,10.682,0.0,7.243848,0.00036,0.0,0.7450059698,0.2549940302,0.0,0.0,0.0,0.0,0.0,0.0,20.9455884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11350356,81,81-13,International N&H Danmark ApS,7200,Grindsted,530,128,Grindsted Fjernvarme,2033,International N&H Denmark ApS,1.0,ER,Erhvervsværk,Overskudsvarme Veksler Skrubber,Overskudsvarme,205900.0,200020.0,pvp,2017-01-10,00:00:00,51.0,1.91,46.0,740.39772237,737.4300000000001,270.87,21.67578,0.08514,0.7380145530666667,0.03204782253333333,0.22993762439999998,0.0,0.0,0.0,19.34938997,0.0,0.0,22.1985324,0.0,0.0,0.0,572.7498,0.0,0.0,0.0,126.1,0.0,0.0,0.0,0.0
2021,11372732,1548,1548-1,Forsyningsvirksomheden Grønhøj Strand,9480,Løkken,849,0,0,1553,FORSYNINGSVIRKSOMHEDEN GRØNHØJ STRAND A/S,0.0,LO,Lokalt værk,Forbrændingsmotor,Forbrændingsmotor,351100.0,350010.0,kvt,1999-04-07,2021-12-31 00:00:00,1.8,0.55,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11757278,928,928-5,"A/S Knud Jepsen, Skanderborgvej",8382,Hinnerup,710,0,0,1096,A/S KNUD JEPSEN,0.0,ER,Erhvervsværk,KV 4,Forbrændingsmotor,11900.0,10000.0,pev,2012-01-01,00:00:00,14.32,5.67,7.12,54.1892736,24.34464,0.0,20.106,12.126240000000001,0.0,0.78125912494,0.21874087506,0.0,0.0,0.0,0.0,0.0,0.0,54.1892736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11768474,2065,2065-1,Tandergård Biogas 2,8320,Mårslet,751,0,0,2100,I/S Tandergård,0.0,ER,Erhvervsværk,Biogas 2,Forbrændingsmotor,14610.0,10000.0,pev,2010-12-01,00:00:00,0.06,0.025,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11826687,651,651-1,Dansk Træemballage A/S,6760,Ribe,561,133,Ribe Fjernvarme,545,DANSK TRÆEMBALLAGE A/S,0.0,ER,Erhvervsværk,DTE A/S,Kedel,162400.0,160000.0,pvp,2012-01-01,00:00:00,4.45,0.0,3.85,58.883688,52.351164,40.29372,0.0,0.0,0.8047821470500001,0.0,0.19521785295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.883688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11899412,575,575-3,Værløse Varmeværk,3500,Værløse,190,18,Hillerød-Farum-Værløse,497,VÆRLØSE VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Kedel 1,Kedel,353000.0,350030.0,fvv,1985-12-05,00:00:00,19.8,0.0,19.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11931316,298,298-1,Ishøj Kommunes Varmeforsyning/Ishøj Varmeværk,2635,Ishøj,183,2,Storkøbenhavns Fjernvarme,267,ISHØJ KOMMUNE,0.0,FJ,Fjernvarmeværk,Kedel 1 Burmeister & Wain,Kedel,353000.0,350030.0,fvv,1982-11-01,00:00:00,35.5,0.0,35.5,113.4756308,105.96252960000001,105.96252960000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385308,0.0,0.0,0.0,0.0,0.0,113.43710000000002,0.0,0.0,0.0,0.0,0.0,0.0
2021,12233418,84,84-2,"Dronninglund Fjernvarme, Tidselbak Alle 18",9330,Dronninglund,810,282,Dronninglund Fjernvarme,91,DRONNINGLUND FJERNVARMEVÆRK AMBA,0.0,DC,Decentralt værk,Varmtvandskedel,Kedel,353000.0,350030.0,fvv,2008-08-01,00:00:00,67.491,3.4,65.0,149.5870632,138.51324,138.51324,3.9672,3.9672,0.8822751812166666,0.11772481878333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7870632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44,0.0,27.36,0.0
2021,12389132,208,208-5,Hjordkær Fjernvarmeværk,6230,Rødekro,580,117,Aabenrå - Rødekro - Hjordkær Fjernvarme,203,HJORDKÆR FJERNVARMEVÆRK AMBA,0.0,DC,Decentralt værk,Oliekedel,Kedel,353000.0,350030.0,fvv,2013-03-28,00:00:00,11.100000000000001,0.6,10.100000000000001,79.992692,74.83824000000001,74.83824000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010692,0.0,0.0,0.0,0.0,0.0,0.0,79.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,12575130,530,530-2,Thorsager Fjernvarmeværk,8410,Rønde,706,224,Thorsager Fjernvarme,444,THORSAGER FJERNVARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Danstoker Oliekedel,Kedel,353000.0,350030.0,fvv,1989-11-01,00:00:00,6.3,0.0,6.3,39.208,34.8048,34.8048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,12654391,2329,2329-1,Metalcolour A/S,4800,Nykøbing F,376,52,Sundby-Øster Toreby Fjernvarme,2336,METALCOLOUR A/S,0.0,ER,Erhvervsværk,Overskudsvarme,Overskudsvarme,256100.0,250000.0,pvp,2016-11-01,00:00:00,0.5,0.0,0.5,2.7684,2.7684,2.7684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7684,0.0,0.0,0.0,0.0
2021,12760043,1396,1396-28,Cheminova A/S,7673,Harboøre,665,0,0,1430,CHEMINOVA A/S,1.0,ER,Erhvervsværk,Gasturbine 2,Gasturbine,202000.0,200010.0,pev,1997-01-01,00:00:00,36.0,10.2,37.0,473.62906089999996,287.928,0.0,103.65840000000001,0.0,0.0,0.69094813585,0.30905186414999997,0.0,0.0,0.0,0.0297720999999999,0.0,0.0,473.5992888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,12762038,648,648-2,Løjt Kirkeby Fjernvarmeforsyning,6200,Aabenraa,580,118,Løjt Kirkeby Fjernvarme,542,LØJT KIRKEBY FJERNVARMESELSKAB AMBA,0.0,FJ,Fjernvarmeværk,Oliekedel,Kedel,353000.0,350030.0,fvv,1989-10-17,00:00:00,11.25,0.0,11.25,77.9525,76.84899999999999,76.1434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.865,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.0
2021,12787111,26,26-4,Oksbøl Varmeværk,6840,Oksbøl,573,122,Oksbøl Fjernvarme,21,ANDELSSELSKABET OKSBØL VARMEVÆRK,1.0,DC,Decentralt værk,"Motor 2, 20.061",Forbrændingsmotor,353000.0,350030.0,kvt,1994-12-01,00:00:00,41.115,5.5,32.54,174.01348439999998,132.34716,129.24360000000001,35.4384,35.172,0.7548600421666666,0.2451399578333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.2315964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2896,0.0,30.492288,0.0
