fv_net_navn,vaerk_postnr,vaerk_postdistrikt,aar,fv_net,vaerk_kommune,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
0,6200.0,Aabenraa,2002,0.0,580.0,1680.98,626.158,260.99,32996.377239544,975.175,933.3,13932.832968,13528.776168,30974.58,162.93099999999998,0.0,23.108599544,0.0,0.0,0.0,0.0,15.78864,1753.98,65.93,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0
0,6200.0,Aabenraa,2003,0.0,580.0,1707.98,626.158,260.99,33947.46749780019,949.6813999999962,912.4060000000001,14214.74258484019,13637.744764974192,31756.46,147.6463817,0.0,21.881312259999998,0.0,0.0,0.0,0.0,17.233507,1699.25,304.98,0.0,0.0,0.0,0.0,0.0,0.0162968401908874,0.0,0.0
0,6200.0,Aabenraa,2004,0.0,580.0,1707.98,626.157,260.99,26251.109400114,934.348177,900.2811999999999,10509.722503199999,10026.0882,23986.25,226.35736475000002,0.0,20.062072964,0.0,0.0,0.0,0.0,9.2099624,1777.85,231.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2005,0.0,580.0,1708.907,626.157,260.99,11674.75027837,775.2620000000001,730.932,4557.81636,4230.39636,9650.41,323.14798165,0.0,29.862623720000002,0.0,0.0,0.0,0.0,14.949673,1482.09,174.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2006,0.0,580.0,1708.907,626.15,260.99,24871.309207676382,1006.5004083205223,954.2808,10508.007794382202,10018.018994382202,22710.0,146.5863424,0.0,3.143794332,0.0,0.0,0.0,0.0,13.19907094438171,1709.59,280.47,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2007,0.0,580.0,1708.907,626.15,260.99,21611.113505694,980.5824682374999,936.806,8491.8836412,8081.3396412,19340.38,274.1218599,0.0,1.559648244,0.0,0.0,0.0,0.0,5.08012875,1808.582,169.086,0.0,0.0,12.3038688,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2008,0.0,580.0,1708.907,626.15,260.99,24609.124683254002,1019.37789432,969.8356,10007.60303808,9576.59663808,22777.01,157.7502,0.0,1.43472,0.0,0.009119254,0.0,0.0,4.530744,1385.799,264.361,0.0,0.0,18.2299,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2009,0.0,580.0,1708.907,626.15,260.99,20019.026906,1070.604,1038.0872,7786.91016,7426.34856,18123.289,124.07155,0.0,10.359536,0.0,0.0087,0.0,0.0,4.0787,1374.314,372.916,0.0,0.0,9.989419999999999,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2010,0.0,580.0,1708.907,626.11,260.88,23228.1779851,1208.0652,1154.1872,9164.61144,8611.8408,20773.307,154.4993882,0.0,17.901896,0.0,0.012,0.0,0.0,3.812,1839.124,412.207,0.0,0.0,27.314500000000002,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2011,0.0,580.0,1709.2369999999999,626.22,261.06,13167.890161027792,1038.19185,1037.6158500000001,4874.6734479828,4516.38273348,11442.805208,75.8834025180942,0.0,53.694634509691596,0.0,0.01205,0.0,0.0,6.836466,1302.1186,270.813,0.0,0.0,15.7268,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2012,0.0,580.0,1709.2369999999999,626.22,261.06,3614.7876943250003,966.3217999999999,963.413,969.88071276,788.155904448,2357.832,35.051590000000004,0.0,13.482653200000001,0.0,0.0111,0.0,0.0,5.569791125,1016.31,168.53,0.0,0.0,18.00056,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2013,0.0,580.0,1751.24,626.22,302.65999999999997,1257.470892272999,994.9384,994.9384,0.7609788,0.7609788,0.0,17.312835,0.0,2.698901,0.0,0.0,0.0,0.0,2.37805875,805.955897522999,403.9362,0.0,0.0,25.189,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2014,0.0,580.0,1773.3400000000001,626.22,326.65999999999997,804.89557625,832.4499999999999,828.8499999999999,1.51683624,1.51683624,0.0,11.912616,0.0,0.290547,0.0,0.0,0.0,0.0,6.7545132500000005,138.1995,620.1612,0.0,0.0,27.5772,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2015,0.0,580.0,1761.44,626.22,315.96000000000004,937.887138,886.628,883.118,1.35612,1.35612,0.0,0.137943,0.0,0.17935,0.0,0.0,0.0,0.0,7.9377249999999995,509.1095,419.9601,0.0,0.0,0.56252,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2016,0.0,580.0,1761.44,626.22,315.96000000000004,1002.1472769999999,952.7704,951.28,1.4202,1.4202,0.0,0.74277,0.0,0.233155,0.0,0.0,0.0,0.0,7.421632,484.039,509.4912,0.0,0.0,0.21952,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2017,0.0,580.0,170.01,0.22,160.96,947.058441,923.8339000000001,923.2579000000001,1.17828,1.17828,0.0,9.744435000000001,0.0,0.078914,0.0,0.0,0.0,0.0,4.390332,249.9365,682.4898000000001,0.0,0.0,0.41846,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2018,0.0,580.0,181.20999999999998,0.22,170.96,1040.5041205,1012.24992,1010.6058,0.8052613200000001,0.8052613200000001,0.0,2.61738,0.0,0.1165775,0.0,0.0,0.0,0.0,4.176823000000001,320.131,708.0834,0.0,5.18,0.19894,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2019,0.0,580.0,130.41,0.22,125.25999999999999,957.4603579000001,1011.40848,1010.29824,0.93388968,0.93388968,0.0,0.0,0.0,0.0491419,0.0,0.0,0.0,0.0,3.381046,121.8725,686.9073000000001,123.114,22.105500000000003,0.03087,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2020,0.0,580.0,130.41,0.22,125.25999999999999,906.5858685000001,875.5337599999999,873.2815999999999,0.3531276,0.3531276,0.0,0.0,0.0,0.0161415,0.0,0.0,0.0,0.0,5.000752,211.39550000000003,631.5630000000001,58.31,0.300475,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2021,0.0,580.0,130.41,0.22,125.25999999999999,1005.51134,1061.1834840000001,1059.6196440000003,0.6479999999999999,0.6479999999999999,0.0,0.0,0.0,0.007174,0.0,0.0,0.0,0.0,4.492865999999999,249.197,670.9299,77.061,3.8234,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2022,0.0,580.0,130.41,0.22,125.25999999999999,1005.93924454,977.068944,977.068944,0.4642056,0.4642056,0.0,0.0,0.0,2.66664754,0.0,0.0,0.0,0.0,1.760397,404.869,536.3682000000001,59.806,0.46900000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2023,0.0,580.0,130.41,0.22,125.25999999999999,1098.79950089,1015.6564440000001,1014.4043640000001,0.45976680000000003,0.45976680000000003,0.0,0.0,0.0,0.2886458899999998,0.0,0.0,0.0,0.0,2.922725,476.57527,618.39336,0.0,0.6194999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2000,0.0,851.0,183.1,270.37,461.74,192.79206045,141.2833999999899,64.771,16.586082,16.586082,0.0,0.0,0.0,37.770712,0.0,0.0,83.83634845,0.0,58.632,0.0,0.0,0.0,0.0,0.0,12.553,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2001,0.0,851.0,183.1,270.37,536.74,233.01487188,185.3116823999952,101.995,14.778108,14.778108,0.0,0.0,0.0,50.860824,0.0,0.0,129.80134788,0.0,48.3737,0.0,0.0,0.0,0.0,0.0,3.979,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2002,0.0,851.0,317.6,1.37,370.74,178.32838076000002,166.95571999999999,92.228,16.77294,13.888259999999999,0.0,0.0,0.0,15.204189000000001,0.0,0.0,148.78330376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.340888,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2003,0.0,851.0,317.6,1.37,295.74,193.11154404,139.192,38.421,17.576964,17.576964,0.0,0.0,0.0,8.87123244,0.0,0.0,126.1739196,0.0,58.066392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2004,0.0,851.0,317.6,1.37,295.74,318.70108476,260.24464,167.35884,16.6768668,12.0364668,0.0,0.0,0.0,2.83249596,0.0,0.0,267.3201888,0.0,48.5484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9000.0,Aalborg,2005,0.0,851.0,317.6,1.37,295.74,302.24315704,253.4142,118.042,17.337600000000002,11.9448,0.0,0.0,0.0,23.39956584,0.0,0.0,243.71119120000003,0.0,35.1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
