vaerk_id,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
9,9-5,Agersted Varmeværk,2021,9330,Dronninglund,810,280,Agersted Fjernvarme,9,19774015,AGERSTED VARMEVÆRK,0.0,DC,Decentralt værk,Motor 1,Forbrændingsmotor,353000.0,350030.0,kvt,2005-09-20,00:00:00,3.3,1.41,1.9,4.0667616,1.581876,1.581876,1.48158,1.48158,0.1944884106,0.8055115894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0667616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-5,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 6 Parca,Kedel,353000.0,350030.0,fvv,1968-01-01,00:00:00,24.754,0.0,21.888,0.505767,0.368,0.368,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.505767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-2,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 3 Parca,Kedel,353000.0,350030.0,fvv,1971-01-01,00:00:00,25.3,0.0,23.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-4,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 5 Falk.b.,Kedel,353000.0,350030.0,fvv,1966-01-01,00:00:00,10.1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-9,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 8B,Kedel,353000.0,350030.0,fvv,1983-01-01,00:00:00,12.6,0.0,11.6,10.287366,9.147,9.147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.304399999999999,0.0,0.0,5.982966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-10,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 9,Kedel,353000.0,350030.0,fvv,1974-01-01,00:00:00,24.405,0.0,22.252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-6,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 7A,Kedel,353000.0,350030.0,fvv,1983-01-01,00:00:00,12.6,0.0,11.6,0.6107112,0.594,0.594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6107112000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-3,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 4 Falk.b.,Kedel,353000.0,350030.0,fvv,1966-01-01,00:00:00,10.1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-8,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 8A,Kedel,353000.0,350030.0,fvv,1983-01-01,00:00:00,12.6,0.0,11.6,11.9243848,11.036,11.036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.162466,0.0,0.0,5.7619188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-7,Albertslund Varmeværk,2021,2620,Albertslund,165,2,Storkøbenhavns Fjernvarme,10,66137112,ALBERTSLUND KOMMUNE,1.0,FJ,Fjernvarmeværk,Kedel 7B,Kedel,353000.0,350030.0,fvv,1983-01-01,00:00:00,12.6,0.0,11.6,9.0544022,8.352,8.352,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.061256999999999,0.0,0.0,3.9931452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
