vaerk_id,forsyid,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
2355,33258445,2355-1,"Arla Foods Energy, Nr. Vium Mejeri",2023,6920,Videbæk,760,0,0,1594,87469816,ARLA FOODS ENERGY A/S,,ER,Erhvervsværk,Biogasmotor,Forbrændingsmotor,105100.0,100030.0,pev,2018-01-01,00:00:00,7.3,3.0,4.0,171.72628,86.3208,0.0,75.06,75.06,0.0,0.7486674724,0.2513325276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.72628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,37949019,2227-1,Arla Foods Gjesing Mejeri,2021,8660,Skanderborg,746,0,0,1594,87469816,ARLA FOODS ENERGY A/S,0.0,ER,Erhvervsværk,Gjesing Mejeri Kraftvarmeanlæg,Forbrændingsmotor,105100.0,100030.0,pev,2015-01-29,00:00:00,2.0,0.8,1.0,21.78,9.10404,0.0,8.276399999999999,8.276399999999999,0.0,0.791,0.209,0.0,0.0,0.0,0.0,0.0,0.0,21.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,37949019,2227-1,Arla Foods Gjesing Mejeri,2022,8660,Skanderborg,746,0,0,1594,87469816,ARLA FOODS ENERGY A/S,0.0,ER,Erhvervsværk,Gjesing Mejeri Kraftvarmeanlæg,Forbrændingsmotor,105100.0,100030.0,pev,2015-01-29,00:00:00,2.0,0.8,1.0,19.7512128,7.1607168,0.0,7.307953200000001,7.307953200000001,0.0,0.8187271619,0.1812728381,0.0,0.0,0.0,0.0,0.0,0.0,19.7512128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,37949019,2227-1,Arla Foods Gjesing Mejeri,2023,8660,Skanderborg,746,0,0,1594,87469816,ARLA FOODS ENERGY A/S,,ER,Erhvervsværk,Gjesing Mejeri Kraftvarmeanlæg,Forbrændingsmotor,105100.0,100030.0,pev,2015-01-29,00:00:00,2.0,0.8,1.0,19.3682412,8.0352,0.0,7.322400000000001,4.881600000000001,0.0,0.792567639,0.207432361,0.0,0.0,0.0,0.0,0.0,0.0,19.3682412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574,36152710,1574-1,Arwos Deponi A/S,2021,6200,Aabenraa,580,0,0,2151,33045859,ARWOS DEPONI A/S,0.0,LO,Lokalt værk,Duo Fuel,Forbrændingsmotor,382110.0,383900.0,pev,2001-01-02,00:00:00,0.33,0.11,0.18,0.821192,0.0,0.0,0.2628,0.2628,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574,36152710,1574-1,Arwos Deponi A/S,2022,6200,Aabenraa,580,0,0,2151,33045859,ARWOS DEPONI A/S,0.0,LO,Lokalt værk,Duo Fuel,Forbrændingsmotor,382110.0,383900.0,pev,2001-01-02,00:00:00,0.33,0.11,0.18,1.046201,0.0,0.0,0.3348,0.3348,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574,36152710,1574-1,Arwos Deponi A/S,2023,6200,Aabenraa,580,0,0,2151,33045859,ARWOS DEPONI A/S,,LO,Lokalt værk,Duo Fuel,Forbrændingsmotor,382110.0,383900.0,pev,2001-01-02,00:00:00,0.33,0.11,0.18,1.00119,0.0,0.0,0.3204,0.3204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,22662910,1593-2,Badsbjerg,2021,9370,Hals,851,0,0,1611,25699386,ULSTED BIOGAS ApS,0.0,ER,Erhvervsværk,Badsbjerg,Forbrændingsmotor,352100.0,350020.0,kvt,2017-05-23,00:00:00,2.4,0.901,1.35,49.934196,25.4664,0.0,16.9776,16.9776,0.2549995999,0.7450004001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.93419599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,22662910,1593-2,Badsbjerg,2022,9370,Hals,851,0,0,1611,25699386,ULSTED BIOGAS ApS,0.0,ER,Erhvervsværk,Badsbjerg,Forbrændingsmotor,352100.0,350020.0,kvt,2017-05-23,00:00:00,2.4,0.901,1.35,37.919893,18.58068,0.0,13.6512,13.6512,0.244999109,0.755000891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.91989299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,22662910,1593-2,Badsbjerg,2023,9370,Hals,851,0,0,1611,25699386,ULSTED BIOGAS ApS,,ER,Erhvervsværk,Badsbjerg,Forbrændingsmotor,352100.0,350020.0,kvt,2017-05-23,00:00:00,2.4,0.901,1.35,44.12021,21.61908,0.0,15.8832,15.8832,0.245002007,0.754997993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.12021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
