vaerk_id,aar,fv_net_navn,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vrkanl_ny,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
1512,2022,,Gødding Mølle,7183,Randbøl,1512-1,630,0,1518,34935319,A/S GØDDING MØLLE SKOVBRUG,0.0,VA,Vandkraftværk,vandkraft,Vandkraft,467310.0,460000.0,vkt,1983-12-06,00:00:00,0.02,0.02,0.0,0.0036,0.0,0.0,0.0036,0.0036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0
1512,2023,,Gødding Mølle,7183,Randbøl,1512-1,630,0,1518,34935319,A/S GØDDING MØLLE SKOVBRUG,,VA,Vandkraftværk,vandkraft,Vandkraft,467310.0,460000.0,vkt,1983-12-06,00:00:00,0.02,0.02,0.0,0.0252,0.0,0.0,0.0252,0.0252,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0
158,2021,Gørding Fjernvarme,Gørding Varmeværk Nørregade 55,6690,Gørding,158-1,561,124,167,20049928,GØRDING VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Danstokel kedel 1971,Kedel,353000.0,350030.0,fvv,1971-01-01,00:00:00,6.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,2022,Gørding Fjernvarme,Gørding Varmeværk Nørregade 55,6690,Gørding,158-1,561,124,167,20049928,GØRDING VARMEVÆRK A M B A,0.0,FJ,Fjernvarmeværk,Danstokel kedel 1971,Kedel,353000.0,350030.0,fvv,1971-01-01,00:00:00,6.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,2023,Gørding Fjernvarme,Gørding Varmeværk Nørregade 55,6690,Gørding,158-1,561,124,167,20049928,GØRDING VARMEVÆRK A M B A,,FJ,Fjernvarmeværk,Danstokel kedel 1971,Kedel,353000.0,350030.0,fvv,1971-01-01,00:00:00,6.3,0.0,6.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,2021,Ejsing Fjernvarme,HKScan Denmark A/S,7830,Vinderup,1096-5,661,388,1172,25177509,HKSCAN DENMARK A/S,0.0,ER,Erhvervsværk,DanStoker,Dampkedel,101200.0,100010.0,pvp,2013-01-01,00:00:00,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,2022,Ejsing Fjernvarme,HKScan Denmark A/S,7830,Vinderup,1096-5,661,388,1172,25177509,HKSCAN DENMARK A/S,0.0,ER,Erhvervsværk,DanStoker,Dampkedel,101200.0,100010.0,pvp,2013-01-01,00:00:00,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2021,Haderslev Fjernvarme,Haderslev Fjernvarme Fjordagervej 15-17,6100,Haderslev,170-5,510,103,176,58061212,Haderslev Fjernvarme,1.0,DC,Decentralt værk,Motor 2,Forbrændingsmotor,351100.0,350010.0,kvt,2007-03-01,00:00:00,7.42,3.02,3.95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2022,Haderslev Fjernvarme,Haderslev Fjernvarme Fjordagervej 15-17,6100,Haderslev,170-5,510,103,176,58061212,Haderslev Fjernvarme,1.0,DC,Decentralt værk,Motor 2,Forbrændingsmotor,351100.0,350010.0,kvt,2007-03-01,00:00:00,7.42,3.02,3.95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2023,Haderslev Fjernvarme,Haderslev Fjernvarme Fjordagervej 15-17,6100,Haderslev,170-5,510,103,176,58061212,Haderslev Fjernvarme,1.0,DC,Decentralt værk,Motor 2,Forbrændingsmotor,351100.0,350010.0,kvt,2007-03-01,00:00:00,7.42,3.02,3.95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
