name,address,latitude,longitude
Gentofte Gladsaxe Fjernvarme,"Bernstoffsvej 159, 2920 Charlottenlund, Denmark",55.7537,12.5918
GEV Varme,"Tårnvej 24, 7200 Grindsted, Denmark",55.761731,8.932975
Gilleleje Fjernvarme,"Fiskerengen 2, 3250 Gilleleje, Denmark",56.110365,12.326442
Give Fjernvarme,"Østerhovedvej 4, 7323 Give, Denmark",55.836377,9.25346
Gjerlev Varmeværk,"Mercurvej 12, 8983 Gjerlev J, Denmark",56.591621,10.135073
Gjøl Private Kraftvarmeværk,"Drøvten 40, 9440 Åbybro, Denmark",57.070859,9.726565
Glamsbjerg-Haarby Varmeværk,"Teglværksvej 10, 5620 Glamsbjerg, Denmark",55.276879,10.104626
Glostrup Forsyning,"Ørnebjergvej 7, 2600 Glostrup, Denmark",55.662531,12.406208
Glyngøre Fjernvarmeværk,"Durupvej 22, 7870 Roslev, Denmark",56.761408,8.87224
Gørding Varmeværk,"Nørregade 55, 6690 Gørding, Denmark",55.473527,8.798912
Græsted Fjernvarme,"Mesterbuen 8, 3230 Græsted, Denmark",56.057276,12.296962
Gram Fjernvarme,"Sønderbyvej 24, 6510 Gram, Denmark",55.280831,9.046928
Grenaa Varmeværk,"Energivej 6, 8500 Grenaa, Denmark",56.419629,10.897745
Greve  Fjernvarme,"Over Bølgen 4, 2670 Greve, Denmark",55.597516,12.326797
Gudenådalens Energiselskab,"Realskolevej 18, 8850 Bjerringbro, Denmark",56.376752,9.655288
Guldborgsund Forsyning,"Gaabensevej 116, 4800 Nykøbing F, Denmark",54.782681,11.867523
Haderslev Fjernvarme,"Fjordagervej 15, 6100 Haderslev, Denmark",55.2475,9.502347
Haderup Kraftvarmeværk,"Ørnevej 13, 7540 Haderup, Denmark",56.391805,8.990433
Hadsten Varmeværk,"Toftegårdsvej 30A, 8370 Hadsten, Denmark",56.318152,10.032703
Hadsund Fjernvarme,"Fabriksvej 1, 9560 Hadsund, Denmark",56.729705,10.109129
Hals Fjernvarme,"Bygmestervej 9-11, 9370 Hals, Denmark",57.0017161,10.2986671
Halsnæs Varme,"Gjethusparken 3, 3300 Frederiksværk, Denmark",55.971396,12.019901
Halvrimmen-Arentsminde Kraftvarmeværk,"Lyngvej 16, 9460 Brovst, Denmark",57.114358,9.59333
Hammel Fjernvarme,"Irlandsvej 6, 8450 Hammel, Denmark",56.238445,9.859986
Hammershøj Fjernvarmeværk,"Hylde Alle 10, 8830 Tjele, Denmark",56.500766,9.749192
Hanstholm Varmeværk,"Molevej 13, 7730 Hanstholm, Denmark",57.114648,8.616342
Harboøre Varmeværk,"Industrivej 1, 7673 Harboøre, Denmark",56.609785,8.182248
Hashøj Kraftvarmeforsyning,"Industrivej 17, 4261 Dalmose, Denmark",55.294798,11.423472
Haslev Fjernvarme,"Energivej 35, 4690 Haslev, Denmark",55.333323,11.96825
Havndal Fjernvarme,"Laursensvej 4, 8970 Havndal, Denmark",56.648725,10.191229
Havneby Varmeværk,"c/o Læssevej 7, 6780 Skærbæk, Denmark",55.1574,8.769
Hedensted Fjernvarme,"Løsningvej 26, 8722 Hedensted, Denmark",55.773994,9.700002
Hejnsvig Varmeværk,"Østermarksvej 25, 7250 Hejnsvig, Denmark",55.694842,9.005717
Helsinge Fjernvarme,"Skovgårdsvej 4A, 3200 Helsinge, Denmark",56.01251,12.194217
Hemmet Varmeværk,"Bandsbølvej 28C, 6893 Hemmet, Denmark",55.853148,8.368704
Hillerød Forsyning,"Ægirsvej 4, 3400 Hillerød, Denmark",55.931563,12.272992
Hinnerup Fjernvarme,"Fanøvej 15, 8382 Hinnerup, Denmark",56.249434,10.076076
Hirtshals Fjernvarme,"Søndergade 14, 9850 Hirtshals, Denmark",57.586774,9.960339
Hjallerup Fjernvarme,"Gravensgade 18, 9320 Hjallerup, Denmark",57.167376,10.147864
Hjordkær Fjernvarmeværk,"Grønhøj 13, 6230 Rødekro, Denmark",55.027536,9.314247
Hjørring Varmeforsyning,"Buen 7, 9800 Hjørring, Denmark",57.46107,9.978622
Hobro Varmeværk,"Lupinvej 21, 9500 Hobro, Denmark",56.655322,9.800663
HOFOR,"Ørestads Boulevard 35, 2300 København S, Denmark",55.639857,12.584221
Høje Taastrup Fjernvarme,"Malervej 7A, 2630 Taastrup, Denmark",55.638159,12.287129
Højslev Nr.Søby Fjernvarmeværk,"Søbyvej 48A, 7840 Højslev, Denmark",56.544007,9.109697
Holeby Fjernvarme,"Energivej 4, 4000 Nykøbing F, Denmark",54.780093,11.883929
Holme-Lundshøj Fjernvarme,"Holme Byvej 14, 8270 Højbjerg, Denmark",56.114348,10.171577
Holsted Varmeværk,"Overgade 11, 6670 Holsted, Denmark",55.507241,8.914458
Holte Fjernvarme,"Skovlytoften 5, 2840 Holte, Denmark",55.820473,12.489341
Høng Varmeværk,"Banemarken 8, 4270 Høng, Denmark",55.505859,11.284498
Hørby Varmeværk,"Hjørringvej 101, 9300 Sæby, Denmark",57.321835,10.385478
Hornbæk Fjernvarme,"Lille Evaldsvej 5, 3100 Hornbæk, Denmark",56.088697,12.46227
Hornslet Fjernvarme,"Amaliegårdvej 7, 8543 Hornslet, Denmark",56.312251,10.306233
Hovedgaard Fjernvarmeværk,"Frydsvej 18, 8732 Hovedgård, Denmark",55.951366,9.959753
Hundested Varmeværk,"Håndværkervej 14, 3390 Hundested, Denmark",55.964016,11.882636
Hundslund-Oldrup Kraftvarmeværk,"Guldagervej 4C, 8350 Hundslund, Denmark",55.91716,10.056882
Hvalpsund Kraftvarme,"Hestbækvej 21, 9640 Farsø, Denmark",56.70239,9.212957
Hvalsø Kraftvarmeværk,"Åsvejen 12, 4330 Hvalsø, Denmark",55.594925,11.856695
Hvidbjerg Fjernvarme,"Håndværkervej 2, 7790 Thyholm, Denmark",56.648284,8.538707
Hvide Sande Fjernvarme,"Numitvej 25, 6960 Hvide Sande, Denmark",56.007447,8.126022
Hvidebæk Fjernvarmeforsyning,"Hovvej 37A, 4490 Jerslev Sjælland, Denmark",55.614772,11.207792
Hvidovre Fjernvarme,"Arnold Nielsens Boulevard 60, 1, 2650 Hvidovre, Denmark",55.6572,12.4736
Hyllinge-Menstrup Kraftvarme,"Smedevangen 4, 4700 Næstved, Denmark",55.253106,11.60179
Ingstrup Fjernvarme,"Hesteskoen 11, 9480 Løkken, Denmark",57.31315,9.710388
Ishøj Varmeværk,"Industrivangen 34, 2635 Ishøj, Denmark",55.605245,12.349965
Jægerspris Kraftvarme,"Håndværkervej 9, 3630 Jægerspris, Denmark",55.831676,11.996368
Jelling Varmeværk,"Nordkrogen 20 B, 7300 Jelling, Denmark",55.760562,9.437109
Jerslev Varmeværk,"Palægade 6, 9740 Jerslev J, Denmark",57.285162,10.093142
Jetsmark Energiværk,"Nørregade 81, 9490 Pandrup, Denmark",57.205689,9.674194
Kalundborg Varmeforsyning,"Dokhavnsvej 15, 4400 Kalundborg, Denmark",55.667625,11.105031
Karup Varmeværk,"Godthåbsvej 2, 7470 Karup J, Denmark",56.0,10.0
Kerteminde Forsyning,"Kohaven 12A, 5300 Kerteminde, Denmark",55.457686,10.649766
Kibæk Varmeværk,"Energivej 6, 6933 Kibæk, Denmark",56.030244,8.860026
Kjellerup Fjernvarme,"Industriparken 10, 8620 Kjellerup, Denmark",56.279339,9.420469
KLAR Forsyning,"Revlen 2, 4600 Køge, Denmark",55.48829,12.191428
Klejtrup Kraftvarmeværk,"Holger Sørensens Vej 1, 9500 Hobro, Denmark",56.5901,9.628802
Køge Fjernvarme,"Nørre Centervej 64, 4600 Køge, Denmark",55.480044,12.177502
Kolind Fjernvarmeværk,"Nyhåbsvej 7, 8560 Kolind, Denmark",56.351934,10.57381
Kongerslev Fjernvarmeværk,"Fælledvej 2, 9293 Kongerslev, Denmark",56.884818,10.11453
