name,address,latitude,longitude,CVRP
Gedsted Varmeværk,"Nørrevold 2B, 9631 Gedsted, Denmark",56.690392,9.336499,1001772848
Gelsted Fjernvarme,"Tømmervej 3, 5591 Gelsted, Denmark",55.397073,9.969715,1000509106
Genner-Hellevad-Hovslund,"Surbækvej 10, 6230 Rødekro, Denmark",55.077455,9.213744,
Gentofte Gladsaxe Fjernvarme,"Bernstoffsvej 159, 2920 Charlottenlund, Denmark",55.7537,12.5918,1023282999
Gilleleje Fjernvarme,"Fiskerengen 2, 3250 Gilleleje, Denmark",56.110365,12.326442,1008891660
Give Fjernvarme,"Østerhovedvej 4, 7323 Give, Denmark",55.836377,9.25346,1001770195
Gjerlev Varmeværk,"Mercurvej 12, 8983 Gjerlev J, Denmark",56.591621,10.135073,1000753087
Gjøl Private Kraftvarmeværk,"Drøvten 40, 9440 Åbybro, Denmark",57.070859,9.726565,1001214793
Glamsbjerg-Haarby Varmeværk,"Teglværksvej 10, 5620 Glamsbjerg, Denmark",55.276879,10.104626,1001582757
Glostrup Forsyning,"Ørnebjergvej 7, 2600 Glostrup, Denmark",55.662531,12.406208,1016173521
Glyngøre Fjernvarmeværk,"Durupvej 22, 7870 Roslev, Denmark",56.761408,8.87224,1002068790
Gørding Varmeværk,"Nørregade 55, 6690 Gørding, Denmark",55.473527,8.798912,1001519815
Græsted Fjernvarme,"Mesterbuen 8, 3230 Græsted, Denmark",56.057276,12.296962,1001830261
Gram Fjernvarme,"Sønderbyvej 24, 6510 Gram, Denmark",55.280831,9.046928,1001743992
Grenaa Varmeværk,"Energivej 6, 8500 Grenaa, Denmark",56.419629,10.897745,
Greve  Fjernvarme,"Over Bølgen 4, 2670 Greve, Denmark",55.597516,12.326797,1017198617
Gudenådalens Energiselskab,"Realskolevej 18, 8850 Bjerringbro, Denmark",56.376752,9.655288,1028826989
Guldborgsund Forsyning,"Gaabensevej 116, 4800 Nykøbing F, Denmark",54.782681,11.867523,1015628371
Haderslev Fjernvarme,"Fjordagervej 15, 6100 Haderslev, Denmark",55.2475,9.502347,1003123420
Haderup Kraftvarmeværk,"Ørnevej 13, 7540 Haderup, Denmark",56.391805,8.990433,1007842267
Hadsten Varmeværk,"Toftegårdsvej 30A, 8370 Hadsten, Denmark",56.318152,10.032703,1002257575
Hadsund Fjernvarme,"Fabriksvej 1, 9560 Hadsund, Denmark",56.729705,10.109129,1002116755
Hals Fjernvarme,"Bygmestervej 9-11, 9370 Hals, Denmark",57.0017161,10.2986671,1001549704
Halsnæs Varme,"Gjethusparken 3, 3300 Frederiksværk, Denmark",55.971396,12.019901,1016115076
Halvrimmen-Arentsminde Kraftvarmeværk,"Lyngvej 16, 9460 Brovst, Denmark",57.114358,9.59333,
Hammel Fjernvarme,"Irlandsvej 6, 8450 Hammel, Denmark",56.238445,9.859986,1001822672
Hammershøj Fjernvarmeværk,"Hylde Alle 10, 8830 Tjele, Denmark",56.500766,9.749192,1001555454
Hanstholm Varmeværk,"Molevej 13, 7730 Hanstholm, Denmark",57.114648,8.616342,1001554495
Harboøre Varmeværk,"Industrivej 1, 7673 Harboøre, Denmark",56.609785,8.182248,1001018897
Hashøj Kraftvarmeforsyning,"Industrivej 17, 4261 Dalmose, Denmark",55.294798,11.423472,1001094436
Haslev Fjernvarme,"Energivej 35, 4690 Haslev, Denmark",55.333323,11.96825,1002013802
Havndal Fjernvarme,"Laursensvej 4, 8970 Havndal, Denmark",56.648725,10.191229,1001121158
Havneby Varmeværk,"c/o Læssevej 7, 6780 Skærbæk, Denmark",55.1574,8.769,1012117112
Hedensted Fjernvarme,"Løsningvej 26, 8722 Hedensted, Denmark",55.773994,9.700002,1001812204
Hejnsvig Varmeværk,"Østermarksvej 25, 7250 Hejnsvig, Denmark",55.694842,9.005717,1001011752
