forsyid,aar,fv_net_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_navn,vaerk_id,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
11271715,2023,Ans Fjernvarme,8643,Ans By,Ans Kraftvarmeværk,41,1480,243,35,11271715,Ans Kraftvarmeværk A M B A,9.8,2.5,7.3,68.9904864,45.1188,45.1188,20.5812,20.5812,0.0,0.0,0.0,0.0,0.0,0.0,68.99048640000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62749814,2021,Ansager Fjernvarme,6823,Ansager,Ansager Varmeværk,42,1719,139,36,62749814,ANSAGER VARMEVÆRK,12.0,0.0,12.0,52.027783,53.87796,53.87796,0.0,0.0,0.0,0.0,0.0,0.032283,0.0,0.0,0.0,0.0,0.0,0.0,50.928,0.0,1.0675,0.0,0.0,0.0,0.0,0.0,0.0
62749814,2022,Ansager Fjernvarme,6823,Ansager,Ansager Varmeværk,42,1146,139,36,62749814,ANSAGER VARMEVÆRK,7.0,0.0,7.0,46.246120000000005,47.891268,47.235600000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.51812,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0
62749814,2023,Ansager Fjernvarme,6823,Ansager,Ansager Varmeværk,42,1719,139,36,62749814,ANSAGER VARMEVÆRK,12.0,0.0,12.0,48.8121445,48.899268,47.4047874,0.0,0.0,0.0,0.0,0.0,0.041796,0.0,0.0,0.0,0.0,0.0,0.0,48.14528,0.0,0.6250685000000001,0.0,0.0,0.0,0.0,0.0,0.0
70874814,2021,Arden Fjernvarme,9510,Arden,Arden Varmeværk,1432,2538,272,38,70874814,ARDEN VARMEVÆRK AMBA,12.37,2.76,9.61,108.4121244,86.340852,86.340852,15.584562,15.584562,0.0,0.0,0.0,0.0,0.0,0.0,63.5417244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8704,0.0,0.0,0.0,0.0
70874814,2022,Arden Fjernvarme,9510,Arden,Arden Varmeværk,1432,2538,272,38,70874814,ARDEN VARMEVÆRK AMBA,12.37,2.76,9.61,89.98658280000001,78.82920000000001,78.82920000000001,6.710400000000001,6.710400000000001,0.0,0.0,0.0,0.0,0.0,0.0,36.2673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.71920000000001,0.0,0.0,0.0,0.0
70874814,2023,Arden Fjernvarme,9510,Arden,Arden Varmeværk,1432,3384,272,38,70874814,ARDEN VARMEVÆRK AMBA,13.37,2.76,10.61,102.8026228,86.47200000000001,86.47200000000001,9.6372,9.6372,0.0,0.0,0.0,0.0,0.0,0.0,52.7568228,0.0,0.0,0.0,0.0,0.0,6.475,0.0,43.57080000000001,0.0,0.0,0.0,0.0
54300514,2023,Aså Fjernvarme,9340,Asaa,Asaa Fjernvarme,44,4050,281,39,54300514,Asaa Fjernvarme,16.34,2.92,14.55,60.3706896,50.48064,48.975840000000005,7.938000000000001,7.938000000000001,0.0,0.0,0.0,0.0,0.0,0.0,20.785089600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496,0.0,10.0008,21.0888
54300514,2022,Aså Fjernvarme,9340,Asaa,Asaa Fjernvarme,44,4050,281,39,54300514,Asaa Fjernvarme,16.34,2.92,14.55,59.1728292,48.78612,47.33532,7.9488,7.9488,0.0,0.0,0.0,0.0,0.0,0.0,20.5376292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3924,0.0,9.4356,19.8072
54300514,2021,Aså Fjernvarme,9340,Asaa,Asaa Fjernvarme,44,4050,281,39,54300514,Asaa Fjernvarme,16.34,2.92,14.55,41.4998568,53.1072,51.0444,7.750800000000001,7.750800000000001,0.0,0.0,0.0,0.0,0.0,0.0,21.9050568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.866800000000001,0.0,10.728,0.0
