name,forsyid,CVRP,address,latitude,longitude
Halsnæs Varme,33033575,1016115076,"Gjethusparken 3, 3300 Frederiksværk, Denmark",55.971396,12.019901
Hammel Fjernvarme,42272612,1001822672,"Irlandsvej 6, 8450 Hammel, Denmark",56.238445,9.859986
Hammershøj Fjernvarmeværk,23067919,1001555454,"Hylde Alle 10, 8830 Tjele, Denmark",56.500766,9.749192
Hanstholm Varmeværk,23011514,1001554495,"Molevej 13, 7730 Hanstholm, Denmark",57.114648,8.616342
Harboøre Varmeværk,16016438,1001018897,"Industrivej 1, 7673 Harboøre, Denmark",56.609785,8.182248
Hashøj Kraftvarmeforsyning,16408530,1001094436,"Industrivej 17, 4261 Dalmose, Denmark",55.294798,11.423472
Haslev Fjernvarme,54121016,1002013802,"Energivej 35, 4690 Haslev, Denmark",55.333323,11.96825
Havndal Fjernvarme,16566179,1001121158,"Laursensvej 4, 8970 Havndal, Denmark",56.648725,10.191229
Havneby Varmeværk,29346909,1012117112,"Flyndervej 6-8, 6792 Rømø",55.08608,8.56576
Hedensted Fjernvarme,41529911,1001812204,"Løsningvej 26, 8722 Hedensted, Denmark",55.773994,9.700002
Hejnsvig Varmeværk,15978538,1001011752,"Østermarksvej 25, 7250 Hejnsvig, Denmark",55.694842,9.005717
Helsinge Fjernvarme,42760218,1001830583,"Skovgårdsvej 4A, 3200 Helsinge, Denmark",56.01251,12.194217
Hemmet Varmeværk,20745533,1004482427,"Bandsbølvej 28C, 6893 Hemmet, Denmark",55.853148,8.368704
Hinnerup Fjernvarme,10411912,1002895495,"Fanøvej 15, 8382 Hinnerup, Denmark",56.249434,10.076076
Hirtshals Fjernvarme,45194817,1001864776,"Søndergade 14, 9850 Hirtshals, Denmark",57.586774,9.960339
Hjordkær Fjernvarmeværk,12389132,1000379188,"Grønhøj 13, 6230 Rødekro, Denmark",55.027536,9.314247
Hjørring Varmeforsyning,64544616,1003156575,"Buen 7, 9800 Hjørring, Denmark",57.46107,9.978622
Hobro Varmeværk,41429615,1001810468,"Lupinvej 21, 9500 Hobro, Denmark",56.655322,9.800663
Høje Taastrup Fjernvarme,13057117,1002933753,"Malervej 7A, 2630 Taastrup, Denmark",55.638159,12.287129
Holeby Fjernvarme,62082313,1002146371,"Industrivej 1, 4960 Holeby, Denmark",54.708236,11.473289
Holsted Varmeværk,36637919,1001747524,"Overgade 11, 6670 Holsted, Denmark",55.507241,8.914458
Holte Fjernvarme,18968614,1002996530,"Skovlytoften 5, 2840 Holte, Denmark",55.820473,12.489341
Høng Varmeværk,29096716,1001640777,"Banemarken 8, 4270 Høng, Denmark",55.505859,11.284498
Hørby Varmeværk,11218415,1000200879,"Hjørringvej 101, 9300 Sæby, Denmark",57.321835,10.385478
Hornbæk Fjernvarme,64235818,1002186009,"Lille Evaldsvej 5, 3100 Hornbæk, Denmark",56.088697,12.46227
Hundested Varmeværk,32720315,1001694623,"Håndværkervej 14, 3390 Hundested, Denmark",55.964016,11.882636
Hundslund-Oldrup Kraftvarmeværk,18440342,1003439395,"Guldagervej 4C, 8350 Hundslund, Denmark",55.91716,10.056882
Hvalsø Kraftvarmeværk,44057212,1001847430,"Åsvejen 12, 4330 Hvalsø, Denmark",55.594925,11.856695
Hvide Sande Fjernvarme,69914128,1002309201,"Numitvej 25, 6960 Hvide Sande, Denmark",56.007447,8.126022
Hvidebæk Fjernvarmeforsyning,14926402,1002964005,"Hovvej 37A, 4490 Jerslev Sjælland, Denmark",55.614772,11.207792
Ingstrup Fjernvarme,19596419,1001514308,"Hesteskoen 11, 9480 Løkken, Denmark",57.31315,9.710388
Jægerspris Kraftvarme,18155141,1001441676,"Håndværkervej 9, 3630 Jægerspris, Denmark",55.831676,11.996368
Jelling Varmeværk,17349317,1001270473,"Nordkrogen 20 B, 7300 Jelling, Denmark",55.760562,9.437109
Jerslev Varmeværk,16001910,1001016250,"Palægade 6, 9740 Jerslev J, Denmark",57.285162,10.093142
Jetsmark Energiværk,17000888,1001201570,"Nørregade 81, 9490 Pandrup, Denmark",57.205689,9.674194
Kalundborg Varmeforsyning,31774985,1014794766,"Dokhavnsvej 15, 4400 Kalundborg, Denmark",55.667625,11.105031
Karup Varmeværk,16859818,1001173049,"Godthåbsvej 2, 7470 Karup J, Denmark",56.308801,9.167843
Kerteminde Forsyning,32077404,1015829881,"Kohaven 12A, 5300 Kerteminde, Denmark",55.457686,10.649766
Kibæk Varmeværk,39325128,1008593805,"Energivej 6, 6933 Kibæk, Denmark",56.030244,8.860026
Kjellerup Fjernvarme,60247412,1002110216,"Industriparken 10, 8620 Kjellerup, Denmark",56.279339,9.420469
Kolind Fjernvarmeværk,33910134,1017212040,"Nyhåbsvej 7, 8560 Kolind, Denmark",56.351934,10.57381
Kongerslev Fjernvarmeværk,51087119,1001961555,"Fælledvej 2, 9293 Kongerslev, Denmark",56.884818,10.11453
Kværndrup Fjernvarme,23913615,1001567347,"Bøjdenvej 22B, 5772 Kværndrup, Denmark",55.1775,10.5255
Laurbjerg Kraftvarmeværk,16091308,1001032862,"Hvidtjørnevej 25, 8870 Langå, Denmark",56.35745,9.921348
Lem Varmeværk,15763515,1000974476,"Askevej 5, 6940 Lem St, Denmark",56.022976,8.378348
Lemvig Varmeværk,36892412,1001749941,"Vestavej 2, 7620 Lemvig, Denmark",56.535315,8.302848
Lendum Kraftvarmeværk,17144847,1001231422,"Tårsvej 37B, 9870 Sindal, Denmark",57.408872,10.292988
Løgstør Fjernvarmeværk,19201414,1001510235,"Blekingevej 8, 9670 Løgstør, Denmark",56.959383,9.263223
Løgstrup Varmeværk,18791013,1001504819,"Kølsenvej 14A, 8831 Løgstrup, Denmark",56.513313,9.340247
Løgumkloster Fjernvarme,66211118,1002227340,"Søndermarksvej 1, 6240 Løgumkloster, Denmark",55.052665,8.957691
Lohals Varmeforsyning,16954748,1001191665,"Bræmlevænget 3, 5953 Tranekær, Denmark",55.12695,10.90733
Løjt Kirkeby Fjernvarmeselskab,12762038,1000441441,"Skovbyvej 4, 6200 Aabenraa, Denmark",55.083199,9.464455
Løkken Varmeværk,64761919,1002195238,"Industrivej 18, 9480 Løkken, Denmark",57.37129,9.727605
Løkkensvejens Kraftvarmeværk,20066873,1004118408,"Løkkensvej 730, 9480 Løkken, Denmark",57.410064,9.812225
Lønstrup Varmeforsyning,19908070,1004046966,"Strandvejen 89, 2. sal, 9800 Hjørring, Denmark",57.472784,9.797076
Løsning Fjernvarme,41524111,1001811993,"Fasanvej 2, 8723 Løsning, Denmark",55.804232,9.698341
Lystrup Fjernvarme,42125814,1001820693,"Hovmarken 2, 8520 Lystrup, Denmark",56.233931,10.240012
