name;address;latitude;longitude;CVRP
Hofor;Ørestads Boulevard 35, 2300 København S, Denmark;55639857;12584221;
Høje Taastrup Fjernvarme;Malervej 7A, 2630 Taastrup, Denmark;55638159;12287129;
Højslev Nr.Søby Fjernvarmeværk;Søbyvej 48A, 7840 Højslev, Denmark;56544007;9109697;
Holeby Fjernvarme;Industrivej 1, 4960 Holeby, Denmark;54708236;11473289;
Holme-Lundshøj Fjernvarme;Holme Byvej 14, 8270 Højbjerg, Denmark;56114348;10171577;
Holsted Varmeværk;Overgade 11, 6670 Holsted, Denmark;55507241;8914458;
Holte Fjernvarme;Skovlytoften 5, 2840 Holte, Denmark;55820473;12489341;
Høng Varmeværk;Banemarken 8, 4270 Høng, Denmark;55505859;11284498;
Hørby Varmeværk;Hjørringvej 101, 9300 Sæby, Denmark;57321835;10385478;
Hornbæk Fjernvarme;Lille Evaldsvej 5, 3100 Hornbæk, Denmark;56088697;1246227;
Hornslet Fjernvarme;Amaliegårdvej 7, 8543 Hornslet, Denmark;56312251;10306233;
Hovedgaard Fjernvarmeværk;Frydsvej 18, 8732 Hovedgård, Denmark;55951366;9959753;
Hundested Varmeværk;Håndværkervej 14, 3390 Hundested, Denmark;55964016;11882636;
Hundslund-Oldrup Kraftvarmeværk;Guldagervej 4C, 8350 Hundslund, Denmark;5591716;10056882;
Hvalpsund Kraftvarme;Hestbækvej 21, 9640 Farsø, Denmark;5670239;9212957;
Hvalsø Kraftvarmeværk;Åsvejen 12, 4330 Hvalsø, Denmark;55594925;11856695;
Hvidbjerg Fjernvarme;Håndværkervej 2, 7790 Thyholm, Denmark;56648284;8538707;
Hvide Sande Fjernvarme;Numitvej 25, 6960 Hvide Sande, Denmark;56007447;8126022;
Hvidebæk Fjernvarmeforsyning;Hovvej 37A, 4490 Jerslev Sjælland, Denmark;55614772;11207792;
Hvidovre Fjernvarme;Arnold Nielsens Boulevard 60, 1, 2650 Hvidovre, Denmark;556572;124736;
Ingstrup Fjernvarme;Hesteskoen 11, 9480 Løkken, Denmark;5731315;9710388;
Ishøj Varmeværk;Industrivangen 34, 2635 Ishøj, Denmark;55605245;12349965;
Jægerspris Kraftvarme;Håndværkervej 9, 3630 Jægerspris, Denmark;55831676;11996368;
Jelling Varmeværk;Nordkrogen 20 B, 7300 Jelling, Denmark;55760562;9437109;
Jerslev Varmeværk;Palægade 6, 9740 Jerslev J, Denmark;57285162;10093142;
Jetsmark Energiværk;Nørregade 81, 9490 Pandrup, Denmark;57205689;9674194;
Jyderup Varme A/S;Lyngvej 6, 4450 Jyderup, Danmark;55660009;11405157;
Kalundborg Varmeforsyning;Dokhavnsvej 15, 4400 Kalundborg, Denmark;55667625;11105031;
Karup Varmeværk;Godthåbsvej 2, 7470 Karup J, Denmark;560;100;
Kerteminde Forsyning;Kohaven 12A, 5300 Kerteminde, Denmark;55457686;10649766;
Kibæk Varmeværk;Energivej 6, 6933 Kibæk, Denmark;56030244;8860026;
Kjellerup Fjernvarme;Industriparken 10, 8620 Kjellerup, Denmark;56279339;9420469;
Klejtrup Kraftvarmeværk;Holger Sørensens Vej 1, 9500 Hobro, Denmark;565901;9628802;
Køge Fjernvarme;Nørre Centervej 64, 4600 Køge, Denmark;55480044;12177502;
Kolind Fjernvarmeværk;Nyhåbsvej 7, 8560 Kolind, Denmark;56351934;1057381;
Kongerslev Fjernvarmeværk;Fælledvej 2, 9293 Kongerslev, Denmark;56884818;1011453;
Kværndrup Fjernvarme;Bøjdenvej 22B, 5772 Kværndrup, Denmark;551775;105255;
Læsø Forsyning;Doktorvejen 2, 9940 Læsø, Denmark;57256284;10999404;
Langå Varmeværk;Borgergade 6, 8870 Langå, Denmark;56391849;9896098;
Laurbjerg Kraftvarmeværk;Hvidtjørnevej 25, 8870 Langå, Denmark;5635745;9921348;
Lem Varmeværk;Askevej 5, 6940 Lem St, Denmark;56022976;8378348;
Lemvig Varmeværk;Vestavej 2, 7620 Lemvig, Denmark;56535315;8302848;
Lendum Kraftvarmeværk;Tårsvej 37B, 9870 Sindal, Denmark;57408872;10292988;
Lillerød Varmecentral;Solvang 27, 3450 Allerød, Denmark;55881576;1234948;
Løgstør Fjernvarmeværk;Blekingevej 8, 9670 Løgstør, Denmark;56959383;9263223;
Løgstrup Varmeværk;Kølsenvej 14A, 8831 Løgstrup, Denmark;56513313;9340247;
Løgten-Skødstrup Fjernvarme;Bakketoften 7, 8541 Skødstrup, Denmark;56255957;10301506;
Løgumkloster Fjernvarme;Søndermarksvej 1, 6240 Løgumkloster, Denmark;55052665;8957691;
Lohals Varmeforsyning;Bræmlevænget 3, 5953 Tranekær, Denmark;55126950;10907330;
Løjt Kirkeby Fjernvarmeselskab;Skovbyvej 4, 6200 Aabenraa, Denmark;55083199;9464455;
Løkken Varmeværk;Industrivej 18, 9480 Løkken, Denmark;5737129;9727605;
Løkkensvejens Kraftvarmeværk;Løkkensvej 730, 9480 Løkken, Denmark;57410064;9812225;
Lønstrup Varmeforsyning;Strandvejen 89, 2. sal, 9800 Hjørring, Denmark;57472784;9797076;
Lørslev Fjernvarme;Vænget 31, 9800 Hjørring, Denmark;57427803;10087587;
Løsning Fjernvarme;Fasanvej 2, 8723 Løsning, Denmark;55804232;9698341;
Lystrup Fjernvarme;Hovmarken 2, 8520 Lystrup, Denmark;56233931;10240012;
Malling Varmeværk;Dampmøllevej 1A, 8340 Malling, Denmark;56039195;10190868;
Mariager Fjernvarmeværk;Klostermarken 5, 9550 Mariager, Denmark;56635733;9971694;
Maribo Varmeværk;C. E. Christiansens Vej 40, 4930 Maribo, Denmark;54779614;11510476;
Marstal Fjernvarme;Jagtvej 2, 5960 Marstal, Denmark;54854594;10514693;
Mejlby Fjernvarme;Dyssevej 17, 8981 Spentrup, Denmark;56517622;10080639;
Mellerup Kraftvarmeværk;Lodsvejen 29, 8930 Randers NØ, Denmark;56518705;1021169;
Middelfart Fjernvarme;Skærgårdsvej 2, 5500 Middelfart, Denmark;55498494;9777639;
Midtfyns Energi;Østre Ringvej 43, 5750 Ringe, Denmark;55240134;10484118;
Midtlangeland Fjernvarme;Spodsbjergvej 147 D, 5900 Rudkøbing, Denmark;5493554;10736126;
Møldrup Fjernvarme;Bøgevej 1, 9632 Møldrup, Denmark;56615677;9498815;
Mølholm Varmeværk;Mølholm Landevej 14, 7100 Vejle, Denmark;55690163;9553467;
Mørke Fjernvarme;Fabriksvej 20, 8544 Mørke, Denmark;56338992;10384768;
Mørkøv Varmeværk;Holbækvej 236, 4440 Mørkøv, Denmark;55650279;11502598;
