Unique Names in data,Names of plants
Manna-Tiese Fjernvarme,Manna-Thise Kraftvarmeværk
Mariager Fjernvarme,Mariager Fjernvarmeværk
Maribo Fjernvarme,Maribo Varmeværk
Marstal Fjernvarme,Marstal Fjernvarme
Mejlby Fjernvarme,Mejlby Fjernvarme
Mellerup Fjernvarme,Mellerup Kraftvarmeværk
Menstrup,
Mesballe,Nrgi Lokalvarme
Mou Fjernvarme,Mou Kraftvarme
Møldrup Fjernvarme,Møldrup Fjernvarme
Mørke Fjernvarme,Mørke Fjernvarme
Mørkøv Fjernvarme,Mørkøv Varmeværk
Nakskov Fjernvarme,Lolland Varme
Nederby-Debel Fjernvarme,Fur Kraftvarmeværk Amba
Neksø Fjernvarme,K/S Difko Lxv
Nibe Fjernvarme,Nibe Varmeværk
Nimtofte og Omegns Fjernvarmeforsyning (NOFF),Nimtofte Og Omegns Fjernvarmeforsyning
Nordals Fjernvarme,Nordals Fjernvarme
Nordby-Mårup,Nordby Fjernvarme
Nordøstsjællands Fjernvarme,Norfors
Nyborg Fjernvarme,Nyborg Forsyning
Nykøbing Falster Fjernvarme,Guldborgsund Forsyning
Nykøbing Mors Fjernvarme,Nykøbing Mors Fjernvarmeværk
Nysted Fjernvarme,Nysted Varmeværk
Næstved Fjernvarme,Næstved Fjernvarme
Nørre Alslev Fjernvarme,Nørre Alslev Fjernvarmeværk
Nørre Snede Fjernvarme,Nørre Snede Varmeværk
Nørre-Aaby Fjernvarme,Nørre Aaby Kraftvarmeværk
Nørre-Nebel Fjernvarme,Nørrevejens Kraftvarmeværk
Oksbøl Fjernvarme,Oksbøl Varmeværk
Onsbjerg Fjernvarme,Onsbjerg Varmeværk
Oue Fjernvarme,Oue Kraftvarmeværk
Outrup Fjernvarme,Outrup Varmeværk
Padborg-Bov Fjernvarme,Padborg Fjernvarme
Præstø Fjernvarme,Præstø Fjernvarme
Ramme Fjernvarme,Lemvig Varmeværk
Ramsing-Lem-Lihme Fjernvarme,Ramsing-Lem-Lihme Kraftvarmeværk
Randers Fjernvarme,Verdo Varme
Ravnkilde Nysum Fjernvarme,Ravnkilde Kraftvarmeværk
Rejsby Fjernvarme,Rejsby Kraftvarmeværk
Ribe Fjernvarme,Ribe Fjernvarme
Ringe Fjernvarme,Midtfyns Energi
Ringkøbing Fjernvarme,Ringkøbing Fjernvarmeværk
Ringsted Fjernvarme,Ringsted Forsyning
Roslev Fjernvarme,Roslev Fjernvarmeselskab
Rosmus,
Rostrup Fjernvarme,Rostrup Kraftvarmeværk
Rudkøbing Fjernvarme,Midtlangeland Fjernvarme
Ry Fjernvarme,Ry Varmeværk
Ryomgård Fjernvarme,Ryomgård Fjernvarme
Rødby Fjernvarme,Rødby Varmeværk
Rødbyhavn Fjernvarme,Rødbyhavn Fjernvarme
Rødding Fjernvarme (Sdr.Jyll),Rødding Fjernvarme
Rødekærsbro Fjernvarme,Rødkærsbro Fjernvarmeværk
Rønde By Fjernvarme,Rønde Fjernvarme
Rønne Fjernvarme,Rønne Varme
Rørvig,Odsherred Forsyning
Sabro Fjernvarme,Sakskøbing Fjernvarmeselskab
Saltum Fjernvarme,Saltum Fjernvarmeværk
Sandved-Tornemark Fjervarme,Sandved Tornemark Kraftvarmeværk
Sdr. Nissum,Sdr. Nissum
Sig Fjernvarme,Sig Varmeværk
Silkeborg Fjernvarme,Silkeborg Forsyning
Simmmelkær Fjernvarme,Verdo Varme Herning
Sindal Fjernvarme (inkl. Bindslev fra 2021),Seas-Nve Udelys
Sinding Fjernvarme,Verdo Varme Herning
Skagen Fjernvarme,Skagen Varmeværk
