Unique Names from Excel,Unique Names from JSON
Simmmelkær Fjernvarme,Mosede Fjernvarmeværk
Sindal Fjernvarme (inkl. Bindslev fra 2021),Mou Kraftvarme
Sinding Fjernvarme,Møldrup Fjernvarme
Skagen Fjernvarme,Mølholm Varmeværk
Skals Fjernvarme,Mørke Fjernvarme
Skave-Borbjerg-Hvam Fjernvarme,Mørkøv Varmeværk
Skive Fjernvarme,Nfs Varme
Skjern Fjernvarme,Nibe Varmeværk
Skovlund Fjernvarme,Nimtofte
Skovsgård Fjernvarme,Nimtofte Og Omegns Fjernvarmeforsyning
Skuldelev Fjernvarme,Nordals Fjernvarme
Skårup Fjernvarme,Nordby Fjernvarme
Skærbæk Fjernvarme,Norfors
Skørping Fjernvarme,Nrgi Lokalvarme
Slagelse Fjernvarme,Nyborg Forsyning
Slagslunde,Nykøbing Mors Fjernvarmeværk
Slangerup Fjernvarme,Nykøbing S. Varmeværk
Smørumnedre Fjernvarme,Nykøbing Sj. Varmeværk
Snedsted Fjernvarme,Nysted Varmeværk
"Snertinge, Særslev, Føllenslev",Næstved Fjernvarme
Solbjerg Fjernvarme,Nørre Aaby Kraftvarmeværk
Sorø Fjernvarme,Nørre Alslev Fjernvarmeværk
Spjald Fjernvarme,Nørre Broby Varmeværk
St-Rise/Dunkær,Nørre Nebel Fjernvarme
Stege Fjernvarme,Nørre Snede Varmeværk
Stenderup-Krogager Fjernvarme,Nørre-Snede Varmeværk
Stenstrup Fjernvarme,Nørrevejens Kraftvarmeværk
Stenvad,Odder Forsyningsselskab
Stoholm Fjernvarme,Odsherred Forsyning
Store Merløse Fjernvarme,Oksbøl Varmeværk
Storkøbenhavns Fjernvarme,Ollerup-Vester Skerninge-Ulbølle Fjernvarme
Strandby Fjernvarme,Onsbjerg Varmeværk
Stubbekøbing Fjernvarme,Oue Kraftvarmeværk
Studsgård Fjernvarme,Outrup Varmeværk
Støvring Fjernvarme,Padborg Fjernvarme
Sundby-Øster Toreby Fjernvarme,Pindstrup Fjernvarme
Svebølle-Viskinge Fjernvarme,Præstø Fjernvarme
Svendborg Fjernvarme,Ramsing-Lem-Lihme Kraftvarmeværk
Sydlangeland Fjernvarme,Rask Mølle Varmeværk
Sæby Fjernvarme,Ravnkilde Kraftvarmeværk
Søllested Fjernvarme,Refa Gedser Fjernvarme
Søndbjerg,Refa Horbelev Fjernvarme
Sønder Felding Fjernvarme,Refa Kettinge Forsyning
Sønder Omme Fjernvarme,Refa Stubbekøbing Fjernvarme
Sønderborg Fjernvarme,Rejsby Kraftvarmeværk
Sønderholm Fjernvarme,Ribe Fjernvarme
TVIS,Ringkøbing Fjernvarmeværk
Tarm Fjernvarme (fra 2013 incl. Ådum),Ringsted Forsyning
Terndrup Fjernvarme,Rise Fjernvarme
Thisted Fjernvarme,Roslev Fjernvarmeselskab
Thorsager Fjernvarme,Rostrup Kraftvarmeværk
Thorsminde Fjernvarme,Rundhøj Fjernvarme
Thorsø Fjernvarme,Ry Varmeværk
Thyborøn Fjernvarme,Rye Kraftvarmeværk
Tim Fjernvarme,Ryomgård Fjernvarme
Tirstrup,Rårup Fællesvarme
Tistrup Fjernvarme,Ræhr Fjernvarme
Toftlund Fjernvarme,Rødby Varmeværk
Tommerup Fjernvarme I/S (fusion af Tommerup by Fjernvarme og Tommerup Stationsby Fjernvarme),Rødbyhavn Fjernvarme
Tranebjerg Fjernvarme,Rødding Fjernvarme
Tranum Fjernvarme,Rødkærsbro Fjernvarmeværk
Troldhede Fjernvarme,Rødovre Kommunale Fjernvarmeforsyning
Trustrup-Lyngby,Rønde Fjernvarme
Tversted Fjernvarme,Rønne Varme
Tårs Fjernvarme,Sakskøbing Fjernvarmeselskab
Tønder Fjernvarme,Saltum Fjernvarmeværk
Tørring Fjernvarme,Sandved Tornemark Kraftvarmeværk
Ulbjerg Fjernvarme,Sdr. Felding Varmeværk
Uldum Fjernvarme,Sdr. Herreds Kraftvarmeværker
Ulfborg Fjernvarme,Sdr. Nissum
Ullerslev Fjernvarme,Sdr. Omme Varmeværk
Ulsted Fjernvarme,Seas-Nve Udelys
Vaarst-Fjellerad Fjernvarme,Sig Varmeværk
Vegger Fjernvarme,Silkeborg Forsyning
Vejby-Tisvilde,Sindal Varmeforsyning
Vejen Fjernvarme,Sk Forsyning
Vemb Fjernvarme,Skagen Varmeværk
Vesløs Fjernvarme,Skals Kraftvarmeværk
Vester Hjermitslev Fjernvarme,Skanderborg-Hørning Fjernvarme
Vestervig Fjernvarme,Skibby Fjernvarme
Viborg Fjernvarme,Skive Fjernvarme
Videbæk Fjernvarme,Skjern Fjernvarme
Vig,Skovlund Varmeværk
Vildbjerg Fjernvarme,Skovsgaard Varmeværk
Vinderup - Sevel Fjernvarme,Skovsgård Varmeværk
Vivild Fjernvarme,Skuldelev Energiselskab
Voersaa Fjernvarme,Skårup Fjernvarme
Vojens Fjernvarme,Skærbæk Fjernvarme
Voldby,Skørping Varmeværk
Vordingborg Fjernvarme,Slagslunde Fjernvarme
Vorupør Fjernvarme,Smørum Kraftvarme
Vrå Fjernvarme,Snedsted Fjernvarme
Væggerløse Fjernvarme,Snertinge-Særslev-Føllenslev Energiselskab
Værum-Ørum Fjernvarme,Solrød Fjernvarme
Århus Fjernvarme,Sorø Fjernvarme
Ærøskøbing Fjernvarme,Spentrup Varmeværk
Ø.Hurup,Spjald Fjernvarme-Og Vandværk
Ølgod Fjernvarme,Spøttrup Fjernvarmeværk
Ørding Fjernvarme,Stege Fjernvarme
Ørnhøj-Grønbjerg Fjernvarme,Stenstrup Fjernvarme
Ørslev-Terslev Fjernvarme,Stoholm Fjernvarmeværk
Ørsted Fjernvarme,Strandby Varmeværk
Ørum Fjernvarme (Nørre Djurs),Struer Energi
Ørum Fjernvarme (Tjele),Struer Energi Fjernvarme
Østbirk Fjernvarme,Støvring Kraftvarmeværk
Øster Assels Fjernvarme,Sunds Forsyning
Øster Brønderslev Fjernvarme,Svebølle-Viskinge Fjernvarmeselskab
Øster Hornum Fjernvarme,Svendborg Fjernvarme
Østerild Fjernvarme,Svogerslev Fjernvarmecentral
Østerlars-Østermarie-Gudhjem Fjernvarme,Sydfalster Varmeværk
,Sydlangeland Fjernvarme
,Sæby Varmeværk
,Søndbjerg Fjernvarme
,Sønderborg Fjernvarm
,Sønderborg Fjernvarme Amba
,Sønderborg Forsyning
,Sønderborg Varme
,Sønderholm Kraftvarmeværk
,Taars Varmeværk
,Tarm Varmeværk
,Terndrup Fjernvarme
,Thisted Varmeforsyning
,Thorsager Fjernvarmeværk
,Thorshøj Kraftvarmeværk
,Thorsminde Varmeværk
,Thorsø Fjernvarmeværk
,Thyborøn Fjernvarme
,Thyregod Fællesvarme
,Tim Kraftvarmeværk
,Tistrup Varmeværk
,Toftlund Fjernvarme
,Tommerup Bys Fjernvarmeforsyning
,Tommerup St. Varmeforsyning
,Tranbjerg Varmeværk
,Tranum Kraftvarmeværk
,Trefor Varme
,Troldhede Kraftvarmeværk
,Trustrup-Lyngby Varmeværk
,Tversted Kraftvarmeværk
,Tvis Trekantområdets Varmetrans
,Tårnby Forsyning
,Tårnbyforsyning Varme
,Tønder Fjernvarme
,Tørring Kraftvarmeværk
,Ulbjerg Kraftvarme
,Uldum Varmeværk
,Ulfborg Fjernvarme
,Ulsted Varmeværk
,Ulstrup Kraftvarmeværk
,Ulstrup Varmeværk
,V. Hjermitslev Varmeværk
,Vallensbæk Fjernvarme Nord
,Vallensbæk Fjernvarme Syd
,Vamdrup Fjernvarme
,Varde Varmeforsyning
,Veddum Skelund Visborg Kraftvarmeværk
,Vejby-Tisvilde Fjernvarme
,Vejen Varmeværk
,Vejlby Fjernvarme
,Vejle Fjernvarme
,Vemb Varmeværk
,Verdo Varme
,Verdo Varme Herning
,Vesløs Fjernvarme
,Vestegnens Kraftvarmeselskab
,Vestervig Fjernvarme
,Vestforbrænding
,Vestforsyning Varme
,Viborg Varme
,Videbæk Energiforsyning
,Videbæk Varm
,Vildbjerg Tekniske Værker
,Vinderup Varmeværk
,Vissenbjerg Fjernvarme
,Vivild Varmeværk
,Voerså Kraftvarmeværk
,Vojens Fjernvarme
,Vonge-Kollemorten Fællesvarme
,Vordingborg Fjernvarme
,Vorupør Kraftvarmeværk
,Vrå Varmeværk
,Værløse Varmeværk
,Værum - Ørum Kraftvarmeværk
,Ådum Kraftvarmeværk
,Ålestrup Varme
,Ærøskøbing Fjernvarme
,Ølgod Tekniske Værker
,Ørnhøj Grønbjerg Kraftvarmeværk
,Ørnhøj-Grønbjerg Kraftvarme
,Ørsted Fjernvarmeværk
,Ørum Varmeværk
,Østbirk Varmeværk
,Øster Brønderslev Fjernvarmeselskab
,Øster Hornum Varmeværk
,Øster Hurup Kraftvarmeværk
,Øster Toreby Varmeværk
,Østerild Fjernvarme
,Østervraa Varmeværk
,Øt Havndal Fjernvarme
