name,forsyid
Nordals Fjernvarme,36941650
Nørrevejens Kraftvarmeværk,00000015
Sdr. Nissum,21999040
Rønde Fjernvarme,89711215
Aalborg Forsyning,00000005
Albertslund Forsyning,66137112
Bornholms Energi & Forsyning,31582148
Brønderslev Forsyning,31157439
Brøns Fjernvarme,19445933
Christiansfeld Fjernvarme,63234214
Dronninglund Fjernvarme,12233418
E.On Ørslev-Terslev Kraftvarmeanlæg,25215680
Frifelt/Roager Kraftvarme,00000014
Frøstrup Fjernvarmeværk,15213140
Fuglebjerg Fjernvarme,29580715
Gjerlev Varmeværk,14492984
Glostrup Forsyning,33043309
Guldborgsund Forsyning,00000002
Hillerød Forsyning,31592488
Hjallerup Fjernvarme,34681228
Hofor,26089263
Højslev Nr.Søby Fjernvarmeværk,18849518
Holme-Lundshøj Fjernvarme,39901811
Hornslet Fjernvarme,43431714
Hvalpsund Kraftvarme,16893773
Hvidovre Fjernvarme,57681268
Ishøj Varmeværk,11931316
Klejtrup Kraftvarmeværk,23220113
Køge Fjernvarme,28672330
Læsø Forsyning,33063784
Løgten-Skødstrup Fjernvarme,22831615
Lørslev Fjernvarme,19191591
Mariager Fjernvarmeværk,57871628
Mejlby Fjernvarme,29189668
Mellerup Kraftvarmeværk,16256234
Midtfyns Energi,32476813
Møldrup Fjernvarme,33171412
Mørke Fjernvarme,35580913
Morsø Forsyning,31895901
Nykøbing Mors Fjernvarmeværk,57494115
Odsherred Forsyning,34203563
Ølgod Tekniske Værker,35747028
Ørnhøj-Grønbjerg Kraftvarme,15320796
Øster Brønderslev Fjernvarmeselskab,43709739
Østerild Fjernvarme,15215674
Rødovre Kommunale Fjernvarmeforsyning,65307316
Ryomgård Fjernvarme,57858311
Sk Forsyning,27736904
Snedsted Fjernvarme,52443016
Sønderborg Forsyning,00000018
Sønderholm Kraftvarmeværk,15296275
Spjald Fjernvarme-Og Vandværk,37325813
Sunds Forsyning,41719613
Svogerslev Fjernvarmecentral,50187128
Tommerup St. Varmeforsyning,76326118
Tønder Fjernvarme,00000015
Tranum Kraftvarmeværk,49965613
Vildbjerg Tekniske Værker,37683310
Øt Havndal Fjernvarme,44336553
Nimtofte,30406443
Ballen/Brundby Fjernvarme,27827853
Balling-Rødding Varmeværk,27173012
Benløseparkens Varmecentral,34609705
Bøvling Varmeværk,18683814
Energi Hurup,43860259
Engholm Varmecentral,60183112
Gassum/Hvidsten Kraftvarmeværk,17737244
Genner-Hellevad-Hovslund,18429772
Grenaa Varmeværk,43774417
Halvrimmen-Arentsminde Kraftvarmeværk,16374172
Hovedgaard Fjernvarmeværk,22724118
Jyderup Varme A/S,33033125
Langå Varmeværk,31223717
Lillerød Varmecentral,60183112
Mølholm Varmeværk,44424010
Norfors,14748539
Nyborg Forsyning,29826641
Oksbøl Varmeværk,12787111
Ollerup-Vester Skerninge-Ulbølle Fjernvarme,36678259
Øster Hornum Varmeværk,15278390
Øster Toreby Varmeværk,17689800
Østervraa Varmeværk,20245417
Outrup Varmeværk,11325319
Ramsing-Lem-Lihme Kraftvarmeværk,17038281
Refa Horbelev Fjernvarme,33756488
Rundhøj Fjernvarme,39901811
Sandved Tornemark Kraftvarmeværk,20137193
Sdr. Felding Varmeværk,13363919
Sdr. Herreds Kraftvarmeværker,16964638
Skovsgård Varmeværk,61668713
Snertinge-Særslev-Føllenslev Energiselskab,18503379
Taars Varmeværk,64463411
V. Hjermitslev Varmeværk,13096414
Værløse Varmeværk,10866111
Værum - Ørum Kraftvarmeværk,18476339
Veddum Skelund Visborg Kraftvarmeværk,18718685
Vestforbrænding,10866111
Fredrikshavn Varme,30173929
Ørnhøj Grønbjerg Kraftvarmeværk,15320796
Refa Kettinge Forsyning,34094187
Refa Stubbekøbing Fjernvarme,32555063
Aabenraa-Rødekro Fjernvarme,36152710
Hillerød Varme A/S - Meløse-St.Lyngby,20276991
Lolland Varme,00000016
Nykøbing Sj. Varmeværk,46917928
Ulbjerg Kraftvarme,15234784
Grønhøj Strand,11372732
Pindstrup Fjernvarme,20486015
Ellehavegaard Energy,18886499
Struer Energi Fjernvarme,26203333
Hjortsvang Fællesvarme,43703560
Manna-Thise Kraftvarmeværk,17737147
Onsbjerg Varmeværk,26325471
Hvidbjerg Fjernvarme,24557413
Vissenbjerg Fjernvarme,27185614
Assens Fjernvarme Fyn,61877215
Assens Fjernvarme Mariager,27837417
Tårnbyforsyning Varme,32667740
Vonge-Kollemorten Fællesvarme,43608940
Gylling-Ørting-Falling Kraftvarmeværk,18468840
Kloster Kraftvarmeværk Amba,16946834
Dagnæs-Bækkelund Varmeværk,00000003
Grindsted El- Og Varmeværk,00000011
Din Forsygning,00000006
Ådum Kraftvarmeværk,18515830
Spentrup Varmeværk,43687670
E.On Varme Danmark,25215680
Haarby Kraft-Varme,21829617
Bioenergi Vest,33154607
Varde Varmeforsyning,32078737
Videbæk Varm,33258445
Verdo Varme Herning,25809807
K/S Difko Lxv,24251020
Ulstrup Kraftvarmeværk,13109710
Sønderborg Fjernvarme,00000018
Glumsø Fjernvarme,43824384
Ellidshøj-Ferslev Kraftvarmeværk,00000005
Spøttrup Fjernvarmeværk,18676710
Cobra Varme,43596713
Helle Energi,43597469
Vejen Varmeværk,57301414
