name,address
Klejtrup Kraftvarmeværk,"Holger Sørensens Vej 1, 9500 Hobro, Denmark"
Køge Fjernvarme,"Nørre Centervej 64, 4600 Køge, Denmark"
Kolind Fjernvarmeværk,"Nyhåbsvej 7, 8560 Kolind, Denmark"
Kongerslev Fjernvarmeværk,"Fælledvej 2, 9293 Kongerslev, Denmark"
Kværndrup Fjernvarme,"Bøjdenvej 22B, 5772 Kværndrup, Denmark"
Læsø Forsyning,"Doktorvejen 2, 9940 Læsø, Denmark"
Langå Varmeværk,"Borgergade 6, 8870 Langå, Denmark"
Laurbjerg Kraftvarmeværk,"Hvidtjørnevej 25, 8870 Langå, Denmark"
Lem Varmeværk,"Askevej 5, 6940 Lem St, Denmark"
Lemvig Varmeværk,"Vestavej 2, 7620 Lemvig, Denmark"
Lendum Kraftvarmeværk,"Tårsvej 37B, 9870 Sindal, Denmark"
Lillerød Varmecentral,"Solvang 27, 3450 Allerød, Denmark"
Løgstør Fjernvarmeværk,"Blekingevej 8, 9670 Løgstør, Denmark"
Løgstrup Varmeværk,"Kølsenvej 14A, 8831 Løgstrup, Denmark"
Løgten-Skødstrup Fjernvarme,"Bakketoften 7, 8541 Skødstrup, Denmark"
Løgumkloster Fjernvarme,"Søndermarksvej 1, 6240 Løgumkloster, Denmark"
Lohals Varmeforsyning,"Bræmlevænget 3, 5953 Tranekær, Denmark"
Løjt Kirkeby Fjernvarmeselskab,"Skovbyvej 4, 6200 Aabenraa, Denmark"
Løkken Varmeværk,"Industrivej 18, 9480 Løkken, Denmark"
Løkkensvejens Kraftvarmeværk,"Løkkensvej 730, 9480 Løkken, Denmark"
Lolland Forsyning,"Stavangervej 13, 4900 Nakskov, Denmark"
Lønstrup Varmeforsyning,"Strandvejen 89, 2. sal, 9800 Hjørring, Denmark"
Lørslev Fjernvarme,"Vænget 31, 9800 Hjørring, Denmark"
Løsning Fjernvarme,"Fasanvej 2, 8723 Løsning, Denmark"
Lystrup Fjernvarme,"Hovmarken 2, 8520 Lystrup, Denmark"
Malling Varmeværk,"Dampmøllevej 1A, 8340 Malling, Denmark"
Mariager Fjernvarmeværk,"Klostermarken 5, 9550 Mariager, Denmark"
Maribo Varmeværk,"C. E. Christiansens Vej 40, 4930 Maribo, Denmark"
Marstal Fjernvarme,"Jagtvej 2, 5960 Marstal, Denmark"
Mejlby Fjernvarme,"Dyssevej 17, 8981 Spentrup, Denmark"
Mellerup Kraftvarmeværk,"Lodsvejen 29, 8930 Randers NØ, Denmark"
Middelfart Fjernvarme,"Skærgårdsvej 2, 5500 Middelfart, Denmark"
Midtfyns Energi,"Østre Ringvej 43, 5750 Ringe, Denmark"
Midtlangeland Fjernvarme,"Spodsbjergvej 147 D, 5900 Rudkøbing, Denmark"
Møldrup Fjernvarme,"Bøgevej 1, 9632 Møldrup, Denmark"
Mølholm Varmeværk,"Mølholm Landevej 14, 7100 Vejle, Denmark"
Mørke Fjernvarme,"Fabriksvej 20, 8544 Mørke, Denmark"
Mørkøv Varmeværk,"Holbækvej 236, 4440 Mørkøv, Denmark"
Morsø Forsyning,"Strandparken 19, 7900 Nykøbing M, Denmark"
Mosede Fjernvarmeværk,"Lundemosen 7, 2670 Greve, Denmark"
Mou Kraftvarme,"Ny Høstemarksvej 28C, 9280 Storvorde, Denmark"
Næstved Fjernvarme,"Maglemølle 62, 4700 Næstved, Denmark"
Nibe Varmeværk,"Hobrovej 46, 9240 Nibe, Denmark"
Nimtofte og Omegns Fjernvarmeforsyning,"Frederikslundvej 1, 8550 Ryomgård, Denmark"
Nordby Fjernvarme,"Bavnebjerg 44, 6720 Fanø, Denmark"
Norfors,"Savsvinget 2, 2970 Hørsholm, Denmark"
Nørre Alslev Fjernvarmeværk,"Peter L. Jensensvej 4, 4840 Nørre Alslev, Denmark"
Nørre Nebel Fjernvarme,"Præstbølvej 9, 6830 Nørre-Nebel, Denmark"
Nørre Snede Varmeværk,"Horsensvej 19, 8766 Nørre-Snede, Denmark"
Nyborg Forsyning,"Gasværksvej 2, 5800 Nyborg, Denmark"
Nykøbing Mors Fjernvarmeværk,"Kjærgaardsvej 20, 7900 Nykøbing M, Denmark"
Nykøbing S. Varmeværk,"Billesvej 8-10, 4500 Nykøbing Sjælland, Denmark"
Nysted Varmeværk,"Egevænget 1, 4880 Nysted, Denmark"
Odder Forsyningsselskab,"Skovdalsvej 8, 8300 Odder, Denmark"
Odsherred Forsyning,"Hovedgaden 39, 4571 Grevinge, Denmark"
Oksbøl Varmeværk,"Industrivej 10, 6840 Oksbøl, Denmark"
Ølgod Tekniske Værker,"Industrivej 9, 6870 Ølgod, Denmark"
Ollerup-Vester Skerninge-Ulbølle Fjernvarme,"Svendborgvej 85, 5762 Skerninge, Denmark"
Ørnhøj-Grønbjerg Kraftvarme,"Kjærsvej 13, 6973 Ørnhøj, Denmark"
Ørsted Fjernvarmeværk,"Rougsøvej 61G, 8950 Ørsted, Denmark"
Ørum Varmeværk,"Bøgevej 5-7, 8830 Tjele, Denmark"
Østbirk Varmeværk,"Industrivej 9, 8752 Østbirk, Denmark"
Øster Brønderslev Fjernvarmeselskab,"Ahornvej 26, 9700 Brønderslev, Denmark"
Øster Hornum Varmeværk,"Tingager 11, 9530 Støvring, Denmark"
