fv_net_navn,aar,vaerk_navn,vaerk_kommune,vrktypenavn,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,match_type,idriftdato
Blåhøj,2021,Blåhøj Energiselskab Amba,756,Decentralt værk,0.0,1412000.0,1400120.0,6.6000000000000005,1.802,4.15,119.67859899999999,42.1164,18.5868,43.524,43.524,2.3293636969000002,1.6706363031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.167599,0.0,2.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1995-01-01
Bogense Fjernvarme,2021,Bogense Forsyningsselskab,480,Decentralt værk,3.0,1059000.0,1050090.0,30.5,0.0,31.1,149.22867280000003,153.6948,153.6948,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4891768,0.0,0.0,0.0,49.45745399999999,64.515166,0.0,0.0,0.0,0.0,0.0,32.766876,0.0,net,1986-01-01
Borup Fjernvarme,2021,Halmvarmeværket Borup,259,Fjernvarmeværk,0.0,353000.0,350030.0,7.5,0.0,7.5,133.1245,122.0292,122.0292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1964-01-01
Bramming Fjernvarme,2021,Bramming Fjernvarme A.m.b.a.,561,Decentralt værk,7.0,2471000.0,2450210.0,86.728,15.56,65.846,288.1291392,249.8616,249.174,28.890000000000004,28.7928,3.9689166847,3.0310833153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.7595392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3696,0.0,net,1973-01-01
Brande Fjernvarme,2021,Brande Fjernvarme A.m.b.a.,756,Decentralt værk,0.0,1059000.0,1050090.0,16.060000000000002,0.0,17.78,148.5782544,149.9796,142.5816,0.558,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.328050000000005,0.0,0.0,0.0,88.7133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5369044,net,2010-09-30
Bredebro Fjernvarme,2021,Bredebro Varmeværk Søndergade,550,Decentralt værk,0.0,1412000.0,1400120.0,18.99,2.8,16.35,54.5908704,57.6396,56.1168,1.7208,1.7064,3.2374970121,0.7625029879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.830170399999999,0.0,0.0,0.0,40.8363,0.0,0.0,0.0,0.0,0.0,0.0,8.9244,0.0,net,1994-08-01
Broager Fjernvarme,2021,Broager Fjernvarmeselskab,540,Decentralt værk,0.0,1412000.0,1400120.0,22.1,3.0,21.3,108.90953280000001,97.00610400000001,97.00610400000001,7.4286,7.4286,3.2206662952,0.7793337048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0456288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.78944,0.0,18.63684,46.43762400000001,net,1994-09-01
Brovst Fjernvarme,2021,Brovst Fjernvarme,849,Decentralt værk,0.0,1059000.0,1050090.0,18.9,0.0,18.5,119.70153972,119.6102484,119.61000000000001,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.34849132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3530484,0.0,net,1994-07-15
Brædstrup Fjernvarme,2021,Brædstrup Totalenergianlæg AS,615,Decentralt værk,9.0,3159900.0,3150090.0,65.69800000000001,7.28,60.856,194.77719,156.31308,152.6976,28.215000000000003,28.215000000000003,7.4565580889,1.5434419111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.68411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.49268,0.0,51.08839200000001,38.512008,net,1987-01-01
Brønderslev Fjernvarme,2021,Brønderslev Varme A/S Eventyrvej 14,810,Fjernvarmeværk,10.0,5875400.0,5830450.0,170.78,28.240000000000002,142.46,571.8946992,513.2181599999999,503.48037600000004,102.7584,102.55680000000001,10.4097973729,6.5902026271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.4591692,0.0,0.0,0.0,321.85185,0.0,0.0,0.0,0.3168,49.2408,0.0,29.02608,0.0,net,1971-09-01
