forsyid,area_size
19470695,342003.8404001357
19493288,535437.9790208605
19500438,641685.7031830538
19596419,338646.7977747578
19739112,3884267.7273648414
19746933,1731700.9927866643
19774015,681438.2600849036
19908070,2196021.9741192935
19998347,114574.35934067283
20023317,522173.74078064266
20049928,178235.9793161343
20066873,1170897.09293564
20095806,3698015.1824763897
20137193,788366.9088836506
20237848,383462.99207959493
20245417,887700.2478406866
20276991,709103.8113191023
20486015,942718.4804380283
20745533,348540.7566456529
20928719,614271.6340046463
21430277,2979675.7016105046
21445711,3137623.5329650603
21829617,2924860.6814670907
21999040,342579.10324821476
22113410,6520725.8678060705
22340417,3246166.566818457
22662910,1654819.4780739124
22703714,4168980.0622945605
22724118,1313539.3485254345
22725513,4343879.832169946
22831615,4010306.09649781
22883313,1182166.632530808
22927213,1187964.4946067054
22950312,4720909.18783715
23011514,2125417.614140833
23067919,793351.7840840891
23104113,7746299.453791113
23220113,615666.014185416
23234114,1007017.2440194271
23913615,1103347.8139406051
24251020,6726965.982457719
24513718,521154.7228910534
24557413,949322.5378053482
24591328,1302131.444865457
24989712,1454654.4044891244
25009215,1383731.0866879812
25161513,12837069.382593736
25161610,756271.1683653909
25165160,574001.7634682609
25215680,6806298.553730644
25387910,3836261.766801045
25452283,964327.3117958945
25473914,2570973.067477374
25482026,34658550.55195828
25625625,4402110.835188838
25809807,42064730.983530834
26089263,103067740.95161442
26203333,66577.0944290285
26203562,10175808.233278861
26325471,257008.2912021065
26364817,1198822.7110349948
26385849,44919.0091942997
26704065,28727257.997810394
26721059,3249740.9475456197
26832217,905820.7673960221
27173012,902622.7916363351
27185614,1037454.6478386341
27210406,6097.682721235731
27253598,298980.4496251742
27360912,788040.9095516788
27546315,89671.52962273755
27695949,1188512.1455316953
27736904,21616799.841619033
27827853,688289.0981301463
27837417,10128471.670793157
28032617,5414570.80087905
28193610,1090376.851624534
28366248,1130309.4987105285
28500769,8704120.597937485
28621027,16098345.222110132
28672330,18635381.991189726
28709714,3842603.0174733917
29096716,3120054.5617910232
29124655,10619687.793098904
29189439,2672224.59486952
29189498,291818.1839488282
29189668,276244.7856773087
29189838,686230.4621600545
29189846,7523392.274817736
29214824,1353797.0808476359
29346909,938278.2003579016
29580715,1834523.894304468
29777373,18066637.108810008
29826641,21750588.036539886
30173929,14179259.774684591
30406443,3091260.7097753966
30587391,154722.77997569888
30692446,11807516.534991117
30990714,2079406.7295287764
30992512,14706648.746001696
31119103,1059787.3428949632
31157439,8515029.302545555
31220319,2052002.8191533764
31220912,2919730.647980575
31223717,2339360.8957170323
31582148,25016267.596870854
31592488,17711377.402177054
31774985,16870233.141169894
31877733,40236105.8504051
31895901,5094736.902038656
32077404,15744314.533271238
32078737,11169900.593436839
32394817,990104.5012014753
32473660,2077831.0693485858
32476813,9479419.16369431
32505821,4299257.899541963
32555063,1474975.8614888927
32654193,13591831.468435852
32667740,15492157.097316299
32720315,3792608.35939663
32945880,16875341.659864917
33016719,4248674.056045265
33032838,412738.466958422
33033079,1133460.976792147
33033125,4589348.231906112
33033575,8026572.13561005
33043309,7495316.44281054
33063784,744548.9438046952
33154607,93224.97730091475
33171412,881003.4008130854
33258445,3190191.638536333
33258453,117517.73452270747
33269315,14450319.2246505
33507410,4234648.387878454
33756488,1005293.3222867855
33910134,1116100.22632288
33912773,9913856.87343395
34094187,682393.9256365717
34203563,12067537.080099627
34681228,3743683.4466007766
34916810,781678.7747997593
34937257,484509.4672057419
34938717,1007907.5781343275
35410538,10541584.252073705
35419314,241058.54960799817
35478116,13627026.886813201
35580913,951347.5840643666
35747028,2909465.8781790957
36152710,26120863.963698916
36294515,2226973.0692393053
36450819,2540634.672386329
36637919,1549331.9233571568
36678259,3044795.0468192943
36892412,9162490.506064497
36941650,10083043.957510632
37251518,10998565.926718673
37325813,1009432.1356228085
37560219,7721580.765034349
37683310,3844817.5073535745
37809217,2183672.8563028323
37949019,20376881.840438515
38073117,620253.5395685855
38130498,250404.36816493364
38226215,1080088.5676897434
38664018,4030891.0869675595
38864114,957584.0225039414
38929119,859073.9803785034
39042010,2265996.971832569
39272091,30421675.516129773
39325128,2326698.24658953
39678810,761035.4438458134
39901811,3063517.263571851
40402314,2741838.3645643443
40517898,1167912.3696254753
40744517,4247843.961631166
40893113,4505641.147491644
40920013,792592.947775364
41160128,935716.6244613242
41228784,762893.2714863023
41429615,8129172.319187713
41524111,5055205.509199089
41529911,8564754.041653046
41719613,3550664.266920716
41897597,21120075.33183424
42125814,6597873.4422575785
42272612,10659338.638410088
42615919,1499178.5520033033
42742511,1125198.7725447286
42760218,3255666.7919268426
43384414,1970938.8376067895
43431714,3087328.9022534834
43513109,679751.9345141547
43538365,1212864.195986011
43587854,538834.6957970894
43596713,1560415.014975013
43597469,3641617.8007840454
43608940,1091431.239158535
43649361,4010563.1829423094
43687670,1632076.760922035
43703560,1204524.8490119008
43709739,835368.891169623
43727516,3413640.882563981
43748068,24342.84037501228
43774417,8479433.170777572
43824384,1541063.3123192533
43860259,3215046.005741725
43898353,341801.33817131305
44038382,242879.7376894505
44057212,2246591.3783584335
44166879,1963755.5202917717
44185865,5535552.104864171
44279118,2843761.6517529613
44336553,933630.9458362587
44424010,5690550.398257054
44473860,1880485.2070513181
44537508,16021.128867492353
45194817,4253930.169249279
45602516,5577640.9519247655
46076915,7296518.2555938065
46917928,3271054.0834424794
49001312,201646.23924684792
49965613,464008.5928089443
50187128,1829638.3515477804
51087119,929950.5613746644
51718011,1475000.5785100518
52443016,3043058.157068561
53464718,3334408.900734985
54121016,4663983.704951728
54300514,960710.0834995585
54442912,7642516.8441088945
55946817,2288131.3421584526
56353712,1795499.6350945258
57205628,5727647.668666322
57301414,5977112.575636596
57494115,2201897.663983546
57681268,9887592.25991925
